Project,Model,Estimator,MAE,MAPE,RMSE,MSE
digester,ETS,stan-map,540.96,2.06,622.38,387360.27
collections,ETS,stan-map,5731.92,10.67,6561.29,43050462.94
commons-fileupload,ETS,stan-map,339.86,5.99,405.12,164125.79
jxpath,ETS,stan-mcmc,952.64,3.21,1255.52,1576340.3
commons-jelly,ETS,stan-mcmc,246.98,0.58,273.16,74615.66
dbutils,ETS,stan-map,49.76,0.74,54.67,2988.61
cocoon,ETS,stan-map,38757.79,13.9,47021.28,2211000333.41
cayenne,ETS,stan-mcmc,5491.43,2.5,5834.95,34046648.75
hive,ETS,stan-mcmc,97862.69,15.72,111100.72,12343370373.72
bcel,ETS,stan-map,1589.41,2.86,1926.46,3711265.34
zookeeper,ETS,stan-map,1518.5,2.39,1653.7,2734729.63
felix,ETS,stan-map,27471.44,11.41,31182.02,972318177.59
beanutils,ETS,stan-mcmc,833.63,1.46,1118.54,1251126.8
commons-cli,ETS,stan-mcmc,1216.9,15.45,1320.42,1743497.44
commons-exec,ETS,stan-map,214.88,4.01,266.4,70968.46
net,ETS,stan-mcmc,833.94,2.79,1099.62,1209174.83
batik,ETS,stan-mcmc,29088.34,25.76,39650.45,1572158065.85
ognl,ETS,stan-mcmc,334.34,1.23,376.16,141494.32
santuario,ETS,stan-mcmc,4358.83,3.57,5506.02,30316294.11
daemon,ETS,stan-mcmc,47.0,1.17,55.29,3057.38
commons-jexl,ETS,stan-map,2484.81,16.08,2939.48,8640557.27
httpcore,ETS,stan-map,2971.79,3.93,4323.06,18688853.82
thrift,ETS,stan-mcmc,869.41,4.16,985.85,971901.67
configuration,ETS,stan-map,2297.8,5.31,3108.39,9662105.25
commons-io,ETS,stan-mcmc,5432.99,14.88,7099.04,50396369.96
httpclient,ETS,stan-mcmc,20886.97,33.47,21995.88,483818551.8
archiva,ETS,stan-mcmc,14576.02,14.84,21610.92,467031761.68
validator,ETS,stan-mcmc,807.6,4.86,1045.51,1093087.45
dbcp,ETS,stan-mcmc,517.55,3.64,707.12,500025.65
codec,ETS,stan-mcmc,1216.7,7.18,1462.88,2140027.94
vfs,ETS,stan-mcmc,834.69,3.04,1323.54,1751765.98
