,Actual_last_5_vals,Mean_Simulation,Simulated_8,Simulated_20,Simulated_35,Simulated_47,Simulated_43,Simulated_38,Simulated_31,Simulated_19,Simulated_7,Simulated_21,Simulated_28,Simulated_45,Simulated_0,Simulated_27,Simulated_23,Simulated_48,Simulated_17,Simulated_37,Simulated_29,Simulated_14,Simulated_12,Simulated_36,Simulated_9,Simulated_44,Simulated_11,Simulated_15,Simulated_10,Simulated_30,Simulated_3,Simulated_40,Simulated_46,Simulated_39,Simulated_16,Simulated_49,Simulated_24,Simulated_13,Simulated_32,Simulated_25,Simulated_4,Simulated_34,Simulated_22,Simulated_33,Simulated_5,Simulated_42,Simulated_2,Simulated_41,Simulated_26,Simulated_1,Simulated_6,Simulated_18
0,278217.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,280192.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,280438.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,282044.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,280482.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,257327.34,257327.34,257327.34,257327.34,257327.34,257327.34,257327.34,257327.34,257327.34,257327.34,257327.34,257327.34,257327.34,257327.34,257327.34,257327.34,257327.34,257327.34,257327.34,257327.34,257327.34,257327.34,257327.34,257327.34,257327.34,257327.34,257327.34,257327.34,257327.34,257327.34,257327.34,257327.34,257327.34,257327.34,257327.34,257327.34,257327.34,257327.34,257327.34,257327.34,257327.34,257327.34,257327.34,257327.34,257327.34,257327.34,257327.34,257327.34,257327.34,257327.34,257327.34
6,,263026.34,227010.35,258308.07,232571.32,227547.0,269048.24,282997.73,280619.11,244835.0,252186.86,238160.01,304514.19,241354.97,271917.95,198827.98,261356.97,343518.21,331377.01,173665.56,249001.49,302445.05,301169.67,257784.77,310452.6,214413.94,241335.97,229442.68,245624.19,307861.78,290614.31,322734.77,267599.66,258582.65,255874.0,256934.6,187284.84,287893.17,350957.79,292958.79,323577.29,239319.5,200427.05,238888.64,148547.28,279902.25,197403.76,218826.17,340802.87,302213.45,269701.11,320924.5
7,,255812.95,243543.29,291028.07,242312.61,267153.31,184459.72,223927.98,305252.89,291638.28,229024.74,272459.25,229531.98,301144.83,325418.57,251214.19,247500.84,281438.65,302165.24,252649.75,237721.79,246888.94,278125.91,222142.36,242311.4,246383.73,259699.77,283339.42,226608.23,295630.88,221392.55,274886.35,268896.67,224734.73,249462.25,162572.31,258094.91,204410.53,251031.06,249198.22,214328.69,304337.02,189456.39,315373.75,293882.91,292332.25,283171.64,287551.07,259927.68,233049.17,243920.8,227920.01
8,,255182.51,225206.9,266971.15,261811.01,228070.07,243702.4,234434.26,235182.12,268064.66,239502.16,252573.66,216345.22,283246.65,290587.69,357397.74,199592.74,247172.37,289647.8,193223.44,230974.63,189833.65,252139.61,277189.73,200002.14,174469.86,298757.44,343835.86,256341.7,332342.85,227389.04,323308.7,219694.92,281411.38,274124.56,287096.76,258404.8,305242.36,212723.47,262682.45,243290.84,270474.53,327773.25,262373.05,164907.4,251121.07,248502.58,268853.07,215228.5,284289.3,200472.3,281141.85
9,,266224.26,304827.21,283470.04,289527.41,236808.54,290746.61,231851.62,307647.9,275195.01,266028.05,280854.38,244084.74,224233.92,281114.3,280849.58,310491.04,281385.11,245831.75,358440.49,195591.94,275242.12,284363.29,260990.26,296800.76,259693.02,296405.32,210996.81,309247.83,248049.98,199474.34,257377.85,299806.46,282428.0,345743.43,205196.13,256531.54,290100.66,263312.9,234818.62,275794.89,211505.99,298804.86,272061.74,269243.49,267373.53,283063.03,188404.31,348590.08,175726.86,201290.92,253794.13
10,,255845.64,245410.21,309170.64,244558.81,280702.48,219964.15,309109.7,268222.34,255694.61,255627.8,276293.83,262502.32,260967.82,237186.88,241061.68,243118.35,239111.23,252111.76,229261.28,198587.36,262585.97,303236.3,275623.77,270567.07,281761.25,268161.48,295950.49,298345.4,222290.65,198698.62,213611.26,271077.17,223162.14,320855.08,236968.94,282756.44,364790.74,267771.71,244923.81,244729.24,243349.23,306978.13,316829.22,232690.08,166864.99,193102.82,278640.28,280124.7,204635.11,168337.6,224199.26
