,Actual_last_5_vals,Simulated_0,Simulated_1,Simulated_2,Simulated_3,Simulated_4,Simulated_5,Simulated_6,Simulated_7,Simulated_8,Simulated_9,Simulated_10,Simulated_11,Simulated_12,Simulated_13,Simulated_14,Simulated_15,Simulated_16,Simulated_17,Simulated_18,Simulated_19,Simulated_20,Simulated_21,Simulated_22,Simulated_23,Simulated_24,Simulated_25,Simulated_26,Simulated_27,Simulated_28,Simulated_29,Simulated_30,Simulated_31,Simulated_32,Simulated_33,Simulated_34,Simulated_35,Simulated_36,Simulated_37,Simulated_38,Simulated_39,Simulated_40,Simulated_41,Simulated_42,Simulated_43,Simulated_44,Simulated_45,Simulated_46,Simulated_47,Simulated_48,Simulated_49
392,25990.98449612403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,25977.488372093023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,25963.99224806201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,25950.496124031008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,25937.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,,32159.692828143634,32159.692828143634,32159.692828143634,32159.692828143634,32159.692828143634,32159.692828143634,32159.692828143634,32159.692828143634,32159.692828143634,32159.692828143634,32159.692828143634,32159.692828143634,32159.692828143634,32159.692828143634,32159.692828143634,32159.692828143634,32159.692828143634,32159.692828143634,32159.692828143634,32159.692828143634,32159.692828143634,32159.692828143634,32159.692828143634,32159.692828143634,32159.692828143634,32159.692828143634,32159.692828143634,32159.692828143634,32159.692828143634,32159.692828143634,32159.692828143634,32159.692828143634,32159.692828143634,32159.692828143634,32159.692828143634,32159.692828143634,32159.692828143634,32159.692828143634,32159.692828143634,32159.692828143634,32159.692828143634,32159.692828143634,32159.692828143634,32159.692828143634,32159.692828143634,32159.692828143634,32159.692828143634,32159.692828143634,32159.692828143634,32159.692828143634
398,,30308.68836925618,35465.098101253265,32617.417272652227,41829.23432752425,33142.531668047675,27594.937671414635,40652.392406954816,27777.94438657132,39490.34644057827,24911.823044702476,33518.41873632072,36941.22045117078,33022.57595999697,30289.991145103453,35087.45905930842,36055.311736167845,30721.191366723917,27468.294691407657,36564.46910302955,28477.303961967267,35798.64639098853,31786.25897672435,33190.893853964226,36637.74079826873,32063.546115936788,37299.3346105921,36137.66756596559,27044.12076575647,30026.609939598053,38031.88466087679,24468.54465555043,26474.26839089933,30778.87695020033,34635.71119022991,24625.94939222389,42371.016533077935,34839.979116717914,32599.12262941337,33263.48385288986,32220.782989718376,32917.87358217091,40040.65520087087,35706.12005788452,33730.48590299823,27232.65870178435,28642.097545853772,36947.26518687983,35665.98341699708,33909.0993692633,34717.17999722998
399,,39247.75699914259,29551.09287087569,31958.406108373263,31409.097656388112,24084.528187690237,26574.31298082711,29495.984008589072,32185.66738373936,31676.94928649329,32749.60150660616,35677.39231837005,30377.069705006652,31735.872859872194,31339.834057989363,32440.170048322503,36996.967141591376,33147.54605429262,30699.711555107024,36477.502429433014,34322.510932251054,36730.200904478195,27603.987323130783,33629.378593719295,39128.82584787967,29651.326083319866,32753.80301700421,32128.994912940365,26260.728898962894,32555.3913730749,32643.246386444156,38625.0427358184,30758.85733682851,30822.19713713004,31811.193714104273,35620.5622705658,26422.843663137377,38579.65906014664,32399.411957419074,29351.362572311566,35625.22216882753,32540.031961924687,41114.16562564098,28373.556363119238,31695.713161302327,42159.04778116622,30318.77848466682,32844.73568914469,37045.516379281464,27389.73706275135,44269.010978167935
400,,31780.479657247935,33937.099845502955,32223.643376449058,29760.144277125768,34216.897088827405,32851.223745191775,33168.21369222569,32513.025740199722,28546.607256104075,32515.537757007598,37158.609970166945,35688.06498413995,32450.04637781731,35705.46709077681,39817.15767918341,34780.259809792675,35384.46853296506,32354.86022701754,31406.834612425097,31800.15093367653,30727.455793477482,27416.38827663875,41946.253099827394,39613.71357964568,35115.292111386836,31772.461571758995,33966.57412250308,31211.082068341515,33285.70352564645,39585.16770722044,33821.19635795078,30237.415105963802,29473.56105446483,36034.7984474229,32134.944718129078,28566.884631616085,31293.806786641315,24800.042070478157,32889.68509303309,34067.759656594644,35801.25500151994,27989.379124406165,29705.91043935326,34927.24449965887,28956.382170978846,40023.828105082684,36079.01194226835,33235.15121119521,41493.27244616469,36569.71548867199
401,,29339.34255904758,35827.535643290685,31269.97929472411,35568.2922626152,32133.11413937912,32633.489166090014,34014.58994732315,41445.95189533325,38556.581588054425,35201.55022776081,28181.54251077784,27565.643164552384,34351.71842419828,37564.43962414004,35824.30462187614,29503.393209006765,31213.084728614103,36701.27069016607,30204.12496278945,30984.745265269372,30081.452360251827,38331.02778153429,30232.601870605162,34093.15890069762,32369.685402573406,30537.898914499518,31163.67244538195,30693.18650041113,36051.20744694782,30147.938074098794,33743.24986107862,35031.310029783504,26094.515546875737,37014.65444319333,33575.03940647865,32287.72967878615,33611.777539339855,22393.755309686137,38607.54892743198,31522.535346093402,26105.106659712405,35633.76098400863,23047.88943652536,35860.504421668964,36974.38391298435,33829.72834013696,48167.34243310068,37103.61721265362,31191.630104436063,33029.69119117735
402,,28395.49091094932,30052.4385860298,30869.989084994977,33942.77335628091,32974.46634651029,27791.51069385063,34530.07932872817,39174.040016470484,26242.49380105512,33476.63518043272,30804.16120952135,27157.97320162263,41613.75031052698,32880.02864945653,41740.29323562984,28094.81103055607,40182.792755415874,32266.037188970316,38667.538363007836,34600.94458490104,29884.72402891567,31305.58718908902,34193.93727286911,32476.614651774507,26824.299541115804,35644.85782502519,31524.777750426907,33185.636077908435,32955.751552186186,31455.905172676048,39538.51168740642,32697.369854039815,30227.18145389669,26679.97750062991,43832.057545841824,35486.41753606838,38145.19041537389,30006.365103698332,30015.88819991387,24950.996119172956,37152.79453758861,33990.07868618503,24516.807389641115,34338.48823509392,36172.54346023071,45864.63411310125,38882.354865569214,29923.285639536512,38544.36483571049,25501.84391955293
