,Actual_last_5_vals,Mean_Simulation,Simulated_5,Simulated_42,Simulated_31,Simulated_16,Simulated_2,Simulated_12,Simulated_40,Simulated_24,Simulated_41,Simulated_20,Simulated_10,Simulated_49,Simulated_29,Simulated_32,Simulated_19,Simulated_45,Simulated_43,Simulated_28,Simulated_48,Simulated_34,Simulated_11,Simulated_33,Simulated_47,Simulated_38,Simulated_3,Simulated_13,Simulated_23,Simulated_46,Simulated_44,Simulated_14,Simulated_30,Simulated_18,Simulated_7,Simulated_6,Simulated_35,Simulated_4,Simulated_39,Simulated_25,Simulated_0,Simulated_27,Simulated_26,Simulated_17,Simulated_15,Simulated_9,Simulated_8,Simulated_21,Simulated_22,Simulated_1,Simulated_37,Simulated_36
0,55494.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,55513.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,55532.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,55551.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,55570.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,47373.02,47373.02,47373.02,47373.02,47373.02,47373.02,47373.02,47373.02,47373.02,47373.02,47373.02,47373.02,47373.02,47373.02,47373.02,47373.02,47373.02,47373.02,47373.02,47373.02,47373.02,47373.02,47373.02,47373.02,47373.02,47373.02,47373.02,47373.02,47373.02,47373.02,47373.02,47373.02,47373.02,47373.02,47373.02,47373.02,47373.02,47373.02,47373.02,47373.02,47373.02,47373.02,47373.02,47373.02,47373.02,47373.02,47373.02,47373.02,47373.02,47373.02,47373.02
6,,46035.74,52490.6,45508.41,47400.52,50573.65,46526.56,38509.15,34217.33,38546.25,63933.06,46494.73,34547.0,62083.33,36523.37,40340.03,37750.38,57268.04,86556.68,57330.04,57828.8,35431.56,40376.34,9613.57,44335.98,29679.46,43880.2,74246.99,32023.1,42070.79,44174.79,9132.38,33037.02,53375.72,41571.86,25835.41,41307.7,46419.74,16814.26,60640.59,55582.3,81160.76,28565.54,77201.81,28776.76,58339.72,90926.67,17397.32,27745.08,42231.3,85387.43,50077.11
7,,45868.82,48546.6,50313.56,57661.91,67792.48,29286.27,62496.85,33372.28,36005.89,56163.55,29187.47,21315.36,51056.58,44905.52,43853.58,64315.87,30043.21,42388.81,41018.15,47305.57,38149.03,42104.79,34990.46,50713.86,13360.59,61904.2,58661.24,52756.24,45562.29,33478.36,17234.4,61826.75,65844.13,51349.03,72562.31,39788.3,83218.8,31786.78,69685.52,35545.55,38153.57,72972.29,23179.43,60201.75,30797.38,63604.8,8252.09,42225.72,58543.92,65304.58,12653.2
8,,46759.36,47525.52,41238.38,56029.67,43438.71,39773.99,56639.28,76235.92,36932.28,33646.61,36401.7,47053.56,38648.5,44657.73,38353.37,39621.74,54230.6,73570.84,60579.22,42092.4,71275.98,62095.47,45036.59,21836.27,40584.64,27211.85,47131.41,46618.37,62999.29,33752.66,40796.62,35763.9,67319.7,58077.47,39489.08,43854.72,37820.2,68859.26,26527.17,35175.17,41087.94,19638.94,53707.8,51438.98,69232.54,54218.88,60570.62,71822.39,15490.49,50116.63,31746.86
9,,42869.62,58842.59,62434.95,40198.14,42535.41,17833.84,50241.65,62318.77,19824.6,61154.33,64852.12,48687.29,21945.17,34251.2,42302.94,50327.29,63451.56,54263.22,28980.1,63344.92,26495.18,56048.72,50853.95,54296.48,27728.63,31284.32,23936.99,78144.45,25437.41,24745.83,36363.66,42275.7,28631.29,47031.84,28269.26,30716.14,33198.49,38123.24,51358.74,52961.84,24632.62,20441.77,26710.34,45880.76,63710.07,49598.78,20851.17,70977.89,52805.32,59008.82,33171.32
10,,47531.25,48312.03,70052.4,43500.22,47035.32,57579.79,45442.11,54538.78,45719.83,48635.34,68220.58,53222.24,16305.76,49030.87,59531.49,14778.5,30928.36,45046.31,31691.9,73357.28,38132.4,73081.51,43436.43,34586.72,54110.5,61984.66,38527.85,42874.79,23453.74,58883.79,40694.56,14068.77,59971.59,33580.25,37146.02,109293.2,51467.77,45400.2,43832.8,23281.89,55013.62,34684.82,51122.71,63911.99,68055.69,56401.75,64347.79,42608.71,43119.16,57321.23,9236.71
