,Actual_last_5_vals,Simulated_0,Simulated_1,Simulated_2,Simulated_3,Simulated_4,Simulated_5,Simulated_6,Simulated_7,Simulated_8,Simulated_9,Simulated_10,Simulated_11,Simulated_12,Simulated_13,Simulated_14,Simulated_15,Simulated_16,Simulated_17,Simulated_18,Simulated_19,Simulated_20,Simulated_21,Simulated_22,Simulated_23,Simulated_24,Simulated_25,Simulated_26,Simulated_27,Simulated_28,Simulated_29
389,53360.55555555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,53362.66666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,53364.77777777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,53366.88888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,53369.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,,52364.91089445036,52364.91089445036,52364.91089445036,52364.91089445036,52364.91089445036,52364.91089445036,52364.91089445036,52364.91089445036,52364.91089445036,52364.91089445036,52364.91089445036,52364.91089445036,52364.91089445036,52364.91089445036,52364.91089445036,52364.91089445036,52364.91089445036,52364.91089445036,52364.91089445036,52364.91089445036,52364.91089445036,52364.91089445036,52364.91089445036,52364.91089445036,52364.91089445036,52364.91089445036,52364.91089445036,52364.91089445036,52364.91089445036,52364.91089445036
395,,51583.447460928306,50685.2303012812,47890.98171729495,50937.988757750274,49134.963856367096,54126.07863803496,51005.91798743474,57330.37035017113,57674.88357521952,51190.396169055515,50855.22166640573,49079.89168047103,48135.20258563498,49624.461329674145,49481.47484370138,52941.649975018816,50470.453525769444,49751.42703327559,52475.76789307544,53801.57173345039,50837.36798482738,57231.003630855594,51161.60663354731,50475.92054928203,54649.8815400976,51532.76241826893,50395.543317114294,53148.9738011669,54422.16627360063,56855.546166708526
396,,56065.97157504941,52814.93226550164,54481.09311389618,51796.80683652265,51627.00968416574,58957.187487891046,51819.133194673406,52619.514500093675,57543.95187693559,50479.36764626189,53642.58128950647,51880.48956491485,52075.35129048137,55311.07043329667,55293.36025684041,51416.90559765144,50129.114259616515,53007.426999086914,56975.92948410272,49709.411445441736,56672.99343727531,51328.90244968763,53805.32406367579,52150.42675275221,53302.00143869583,47911.25027061285,52135.69344735453,49619.491523083656,50999.59192592545,53313.07632714004
397,,53754.023248811754,51142.60635143021,49104.74726343455,54647.92486316976,54512.28175172578,51137.6179559407,46761.67230624773,53608.51688693411,50078.89208157852,55604.69922491911,53560.18749225427,50834.99685791946,54186.473296250726,52541.66053923911,51282.78815422439,48955.8831072132,52157.76758250742,47218.151611892295,55023.81331108137,51389.06102813529,48236.40548981349,51246.98068334731,56446.68516347878,53776.64206943371,54122.12374455135,54533.75525809353,54538.2514478073,51273.95377195742,53866.52117212463,52372.936221330725
398,,51594.86531044458,52036.11554348889,53723.16290587223,49853.067939968256,51348.227379133474,51026.243702244436,51856.25199160302,56934.01356636315,55416.05605434961,50826.623236166546,52313.28848428563,51195.85395888519,54488.753015889815,54210.024400385235,51542.20934512741,48688.99813622399,54177.70664534315,53104.134120188515,51561.03930536969,55214.334355335566,50089.66536306458,47155.21587034344,54846.82209353703,53783.69364068688,51505.44513055118,54798.53263171603,56509.808334453846,51864.945644576284,51798.47358923457,49166.71509844593
