,Actual_last_5_vals,Mean_Simulation,Simulated_19,Simulated_22,Simulated_28,Simulated_18,Simulated_2,Simulated_3,Simulated_27,Simulated_17,Simulated_16,Simulated_12,Simulated_26,Simulated_1,Simulated_8,Simulated_9,Simulated_11,Simulated_5,Simulated_23,Simulated_14,Simulated_10,Simulated_29,Simulated_7,Simulated_24,Simulated_13,Simulated_15,Simulated_25,Simulated_6,Simulated_20,Simulated_0,Simulated_4,Simulated_21
0,281882.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,279997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,281688.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,280192.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,282280.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,259739.67,259739.67,259739.67,259739.67,259739.67,259739.67,259739.67,259739.67,259739.67,259739.67,259739.67,259739.67,259739.67,259739.67,259739.67,259739.67,259739.67,259739.67,259739.67,259739.67,259739.67,259739.67,259739.67,259739.67,259739.67,259739.67,259739.67,259739.67,259739.67,259739.67,259739.67
6,,271463.27,300694.33,264585.69,251375.76,254200.1,315146.23,260908.83,262850.5,286551.47,235052.04,303420.23,318938.48,227745.45,258158.9,197427.02,369856.78,304646.87,236298.16,303031.21,186237.91,302914.29,307861.51,260325.89,229395.45,187439.96,218804.83,359087.84,222153.65,273589.53,299417.83,345781.46
7,,265608.66,271960.99,268873.7,312665.85,293732.09,286661.22,259705.18,260018.77,267850.15,276561.33,253404.33,238653.36,327889.94,296045.63,255653.31,311020.28,243511.67,225810.29,318096.36,265030.04,307170.23,278267.42,350542.03,306433.87,291890.32,201347.55,248730.37,215357.79,158424.83,188787.15,188163.78
8,,264081.53,276819.05,256649.8,274767.91,249875.26,282064.15,228164.11,208194.23,253208.69,221056.55,243244.67,271431.18,258787.85,263647.89,203957.81,286322.04,389037.33,252322.87,370686.08,227324.84,354025.74,283581.52,314955.36,195154.44,294084.79,170310.17,197881.89,285839.74,316640.93,268181.96,224226.99
9,,277103.76,278934.46,289388.73,277905.96,256394.25,268431.74,262987.02,292886.33,239025.43,263132.13,244254.3,333583.99,314201.65,376768.14,251589.49,274006.53,258307.38,178139.25,282442.58,326521.57,230725.89,394541.43,328050.64,255361.75,272194.85,265815.68,260563.17,326033.25,203383.96,201596.36,305944.8
10,,265758.43,279553.32,218024.81,246488.86,287212.71,250957.48,218283.42,304032.26,335602.16,310009.68,319347.2,283435.91,248192.57,292433.42,246502.09,287541.78,264897.07,249371.76,238527.58,320662.5,247696.67,307870.16,229674.98,328469.49,172695.18,245330.02,327500.77,346527.3,244996.27,147498.28,173417.2
11,MAE,,10657.75,12932.16,16317.14,16959.44,17698.52,18994.52,20691.06,22687.43,24768.63,25239.4,25989.64,27659.42,28419.06,31480.99,31821.04,33315.69,33678.89,37204.98,37813.76,37899.4,38017.73,38995.82,39378.87,39713.4,40401.23,41497.57,41836.18,42725.24,50440.68,52133.31
