,Actual_last_5_vals,Simulated_0,Simulated_1,Simulated_2,Simulated_3,Simulated_4,Simulated_5,Simulated_6,Simulated_7,Simulated_8,Simulated_9,Simulated_10,Simulated_11,Simulated_12,Simulated_13,Simulated_14,Simulated_15,Simulated_16,Simulated_17,Simulated_18,Simulated_19,Simulated_20,Simulated_21,Simulated_22,Simulated_23,Simulated_24,Simulated_25,Simulated_26,Simulated_27,Simulated_28,Simulated_29
344,55539.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,55547.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,55554.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,55562.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,55570.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,,48254.94254528845,48254.94254528845,48254.94254528845,48254.94254528845,48254.94254528845,48254.94254528845,48254.94254528845,48254.94254528845,48254.94254528845,48254.94254528845,48254.94254528845,48254.94254528845,48254.94254528845,48254.94254528845,48254.94254528845,48254.94254528845,48254.94254528845,48254.94254528845,48254.94254528845,48254.94254528845,48254.94254528845,48254.94254528845,48254.94254528845,48254.94254528845,48254.94254528845,48254.94254528845,48254.94254528845,48254.94254528845,48254.94254528845,48254.94254528845
350,,43229.210782178925,34560.91011570087,24221.72379637468,38266.468529600774,21275.39451834227,60055.81063012747,80638.39324594157,64359.55950309743,43069.520692627244,62741.21766077196,18898.687220768385,37469.363309597094,56932.16596381425,61774.433155474035,46920.24763176358,60839.6718878988,23126.26887513794,39398.44028057873,56070.31708998639,66494.91957514468,27569.138185809654,30125.375310148596,55399.93476391902,24709.035719104748,66236.6899624186,60470.23222925926,52685.288207974874,10168.061100018396,69117.3384803393,53596.081591185364
351,,39053.28318949671,40863.36717882132,48055.20103244501,38819.19133254261,31619.375865270234,45169.35414752182,46579.2611480402,78372.8774553392,43624.78608896538,54844.47474183375,55367.29906451503,31441.10609430621,42738.44555935146,96826.74067236883,68601.31561947727,35830.135442751685,30290.069209762754,21591.641556339913,32154.51128034122,26849.33710971687,34951.6903485008,11799.451383703848,51731.15407954639,30931.81532053401,16362.41521856641,43015.24698262428,45319.72453645148,19131.562855536944,31341.106954799918,39186.8897809333
352,,29618.397961715193,20229.210971415538,24398.378402912396,24341.813556359983,28034.990153137373,69386.44759239131,67400.19775033357,38771.65824397533,63506.51377926259,18441.63720147137,41395.83491933886,41244.53879898072,12815.938607999402,82330.29408815461,44691.962226514,44554.74891716573,32667.71893352413,23648.826738521384,33949.296477767,70500.70233971563,60132.78365811275,53388.655770942074,67100.14746722412,41896.03457863459,61282.64368034124,30338.279088137104,22088.490792449844,17054.684722397356,62389.48352055194,70573.24007456638
353,,70051.92738175204,36892.997436905476,55280.430596054335,52305.28091152888,53607.63144286614,40607.65711345185,48167.426004207155,17098.108324886147,51155.9087876107,37064.16254101988,46723.19594397602,55402.518471591124,61504.33117046779,44688.078186875515,82655.2434519169,38357.024597130425,53755.35645073245,46176.39486390274,42657.02031754435,22941.7202361623,53840.11119573787,49093.87558797059,54685.72911803207,47802.859362628325,52939.34825530012,54629.12522410259,64420.82800754313,43830.160828183245,26269.691298979753,49166.6399389271
354,,75321.36392515145,28097.266030500115,52615.44212729273,39249.93606287829,72530.7883777944,30548.164520868082,22760.017112059533,40735.053964913386,51123.794345434086,54060.521826340395,53297.89229535117,55109.98234430062,75246.12285514655,51607.84984730753,47524.10209398489,57040.604202864495,42158.21889632633,69576.01123352088,37564.28700181507,17459.120010229664,37386.216194256995,63591.60166486124,84915.85717980983,48697.22573245783,20766.30951514179,21727.946645143693,45722.040316804574,39408.30992623089,37047.866100958,48705.69826126192
