,Actual_last_5_vals,Simulated_0,Simulated_1,Simulated_2,Simulated_3,Simulated_4,Simulated_5,Simulated_6,Simulated_7,Simulated_8,Simulated_9,Simulated_10,Simulated_11,Simulated_12,Simulated_13,Simulated_14,Simulated_15,Simulated_16,Simulated_17,Simulated_18,Simulated_19,Simulated_20,Simulated_21,Simulated_22,Simulated_23,Simulated_24,Simulated_25,Simulated_26,Simulated_27,Simulated_28,Simulated_29
183,30189.266666666663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,30268.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,30348.13333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,30427.566666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,30507.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,,29783.957923777056,29783.957923777056,29783.957923777056,29783.957923777056,29783.957923777056,29783.957923777056,29783.957923777056,29783.957923777056,29783.957923777056,29783.957923777056,29783.957923777056,29783.957923777056,29783.957923777056,29783.957923777056,29783.957923777056,29783.957923777056,29783.957923777056,29783.957923777056,29783.957923777056,29783.957923777056,29783.957923777056,29783.957923777056,29783.957923777056,29783.957923777056,29783.957923777056,29783.957923777056,29783.957923777056,29783.957923777056,29783.957923777056,29783.957923777056
189,,25810.532539907865,31806.51707894858,28269.67890811994,26360.7945847749,26607.296147862507,29741.219147828753,30319.042888417865,28960.216143917347,30809.03690156642,30882.461893846717,29187.193654582374,33321.00035468461,28461.151618353368,27956.12324206132,27228.270704210492,24837.989621056942,31158.71038615828,27750.731327374746,30893.46033589198,33907.65855360689,30314.19860909048,33637.673115341706,30155.04828799849,30296.71445869954,33959.75565950672,31986.26211437524,28000.569124912523,32627.59022843258,29698.407224913517,26821.07301978827
190,,31560.073276155923,27294.08026969231,30315.126293533118,29010.31074153933,27362.906261361753,33554.49764133971,28962.478357829776,29116.523081166637,31410.23493394295,28220.431518955495,31383.967998029668,31647.615781546992,32732.47580755773,32147.34072334554,30247.63431987673,31030.488377538906,30371.85636369098,31427.0172977138,32629.90315528925,33807.247666313786,27999.12919369762,30366.704404724725,30128.23210526546,30684.589926509492,27804.8981156887,29439.306668796744,29045.991919559263,28880.497732123622,29013.251398886754,31975.52993895348
191,,29553.823415532246,37343.88434994095,30192.054522527887,30679.734996400002,31393.776135199805,27585.533591834315,31087.78996039297,26132.96262996129,30444.478167241592,27499.300474517753,30346.099201540976,27078.972476716262,27316.21408495831,31143.630784043708,27468.72236547726,32357.286217746085,27334.183343471257,27806.369931970054,31057.50586948903,29440.02696700173,28478.70966123593,31104.253227253288,31139.65553427149,24886.48592527444,28788.901095135057,31030.53280328034,30573.97794036511,30655.66035879379,28515.029267380978,31543.22379959633
192,,31499.141314458986,28435.349056421433,29092.565516360577,30371.856967955544,35686.35790713297,30186.911103919134,30340.61033626393,30343.29836770917,27955.149140179084,26607.20383854894,28709.408901852643,30687.87026455988,28724.130182296634,31299.989290754555,29847.313868319463,29324.813585737105,29997.345372740416,35827.073879295094,27218.006056962477,29309.190478159027,24511.863578295954,27084.857013194487,28595.2160492518,32238.39437884217,28586.62075270456,27791.881562333736,27802.957436212684,32164.400972354622,25632.879792912587,30087.77604297726
193,,27785.976143735832,28135.895638025682,28891.648298656222,32547.97634862265,34095.317595699846,31802.166375683602,32122.065499802746,30356.12941346369,27030.326026100567,30536.385845733897,28652.890559041134,26563.847825096174,31972.93160035523,31422.133192714133,30309.96498367391,27694.559347807986,32094.686523122025,29919.633228212842,31706.494618391345,26880.84280741328,30473.82775206874,28252.171275633656,29996.076283778184,29570.814926352705,28478.670727216104,30408.617998208927,27903.24385345835,30061.91727155977,28330.754921707074,30492.664490647105
