,Actual_last_5_vals,Mean_Simulation,Simulated_17,Simulated_14,Simulated_21,Simulated_7,Simulated_6,Simulated_15,Simulated_19,Simulated_13,Simulated_5,Simulated_16,Simulated_4,Simulated_20,Simulated_9,Simulated_29,Simulated_1,Simulated_3,Simulated_22,Simulated_18,Simulated_2,Simulated_11,Simulated_0,Simulated_23,Simulated_8,Simulated_25,Simulated_26,Simulated_28,Simulated_12,Simulated_27,Simulated_24,Simulated_10
0,55494.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,55513.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,55532.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,55551.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,55570.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,47154.79,47154.79,47154.79,47154.79,47154.79,47154.79,47154.79,47154.79,47154.79,47154.79,47154.79,47154.79,47154.79,47154.79,47154.79,47154.79,47154.79,47154.79,47154.79,47154.79,47154.79,47154.79,47154.79,47154.79,47154.79,47154.79,47154.79,47154.79,47154.79,47154.79,47154.79
6,,49675.15,39339.49,51018.45,47814.7,34762.32,56713.35,42780.73,41930.18,60973.23,36818.21,47071.27,69292.88,55712.74,46703.34,55223.18,32954.97,47621.27,65179.59,64841.77,33207.18,58301.92,47313.68,51106.89,27873.61,38663.54,63916.19,15854.54,64225.27,65691.07,62447.19,64901.83
7,,49952.88,50359.08,61497.21,37923.07,54654.72,53096.19,50461.12,63750.1,37410.89,69475.56,36307.69,57835.42,48234.97,63726.78,40819.83,60352.81,59268.51,48790.76,46659.44,54645.1,73000.36,67686.35,52679.0,33853.22,35515.41,49447.28,50782.16,36558.98,52065.06,38354.29,13374.9
8,,49654.4,45050.41,49689.42,53625.77,49140.67,48640.37,51656.62,57165.06,62467.1,60856.13,25648.51,40253.01,36452.26,34449.46,33476.97,64818.98,66831.36,75682.43,68176.08,35066.37,50414.54,75351.8,22808.85,61726.91,26296.81,39697.66,80045.64,19375.59,30629.36,76965.75,47171.98
9,,46963.2,47469.03,42418.61,37969.1,61930.05,29616.53,66089.99,53861.43,41805.46,40877.84,47195.92,48392.64,33653.89,66536.12,51469.83,56563.76,57599.8,61537.72,68803.67,45192.89,43334.17,51161.26,13283.61,34633.39,58096.71,15639.34,63708.72,40468.39,82203.82,23062.65,24319.58
10,,48586.97,63059.02,61760.87,53091.43,36134.78,69235.66,27632.04,63058.5,57815.94,50178.11,36959.54,62797.95,29799.33,46431.97,26868.56,42452.59,71088.09,43532.77,44899.32,73811.53,18668.74,32219.88,43044.84,36779.79,26427.82,75344.55,51396.31,79276.03,25381.52,24881.35,83580.41
11,MAE,,5053.96,5106.86,5226.7,7924.57,8198.48,8247.77,8403.77,8506.58,8542.98,8685.85,8757.01,8842.43,8946.43,9513.93,9669.94,10280.7,10387.22,10418.31,10457.18,10996.94,11059.58,11704.19,12351.78,13683.22,13797.47,14099.33,15901.12,15933.2,16548.02,18654.02
