,Actual_last_5_vals,Mean_Simulation,Simulated_25,Simulated_21,Simulated_24,Simulated_0,Simulated_3,Simulated_11,Simulated_29,Simulated_1,Simulated_27,Simulated_13,Simulated_20,Simulated_8,Simulated_18,Simulated_28,Simulated_5,Simulated_10,Simulated_19,Simulated_14,Simulated_12,Simulated_22,Simulated_4,Simulated_6,Simulated_26,Simulated_2,Simulated_15,Simulated_9,Simulated_16,Simulated_7,Simulated_17,Simulated_23
0,5451.666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5473.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5494.333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5515.666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5537.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,5330.95,5330.95,5330.95,5330.95,5330.95,5330.95,5330.95,5330.95,5330.95,5330.95,5330.95,5330.95,5330.95,5330.95,5330.95,5330.95,5330.95,5330.95,5330.95,5330.95,5330.95,5330.95,5330.95,5330.95,5330.95,5330.95,5330.95,5330.95,5330.95,5330.95,5330.95
6,,5317.9,5346.74,5344.94,5311.55,5382.5,5335.29,5608.29,5453.15,5564.28,5246.09,5322.57,5207.96,5327.79,5267.67,5521.12,5011.6,5424.09,5174.65,5333.68,5647.64,5426.97,5469.38,5346.12,5022.89,5358.17,4879.54,5611.35,5524.21,4988.24,4972.97,5105.68
7,,5276.03,5301.34,5408.89,5578.29,5420.61,5425.96,5305.86,5379.12,5449.0,5020.88,5004.68,4989.13,5289.34,4970.37,5412.88,5341.05,5152.32,5152.39,5849.67,5180.76,5954.48,4986.72,4949.43,5116.94,4963.16,5435.08,5423.63,5080.45,4897.51,5371.99,5468.96
8,,5278.93,5204.84,5179.6,5296.25,5204.06,5673.64,5429.85,5289.69,5418.77,5137.14,5354.3,5170.84,5700.58,5175.04,5220.41,5014.15,4920.57,5268.4,5150.52,4816.48,5158.84,5236.41,5326.65,5266.75,4944.04,5509.83,5761.43,5550.57,5128.6,5260.5,5599.16
9,,5227.02,5318.81,5044.75,5076.8,5141.24,5156.16,5262.16,5241.42,5120.08,5248.88,4945.89,5126.0,5319.12,4952.5,5373.75,5397.7,5019.88,5267.27,5001.08,5120.81,5392.97,5503.7,4824.92,5593.89,4961.63,5401.18,5442.29,5620.41,4833.41,5714.48,5387.46
10,,5382.7,5379.18,5422.53,5411.49,5128.68,5403.73,5233.59,4954.75,5419.32,5602.68,5475.27,5248.13,5614.31,5279.51,5029.87,5515.72,5535.84,6054.65,5443.98,5320.44,5345.36,5759.96,5011.37,5726.0,5158.05,5562.5,5437.92,5206.7,5393.38,5701.29,4704.95
11,MAE,,37.26,80.22,84.16,103.98,108.99,109.23,115.24,117.13,118.43,120.85,123.42,128.09,139.58,149.69,156.63,158.09,164.94,167.51,175.99,185.15,189.54,195.99,196.07,196.35,197.04,199.01,207.15,210.47,210.89,260.59
