,Actual_last_5_vals,Mean_Simulation,Simulated_19,Simulated_3,Simulated_24,Simulated_4,Simulated_16,Simulated_10,Simulated_29,Simulated_1,Simulated_7,Simulated_22,Simulated_27,Simulated_0,Simulated_26,Simulated_6,Simulated_9,Simulated_18,Simulated_15,Simulated_28,Simulated_21,Simulated_20,Simulated_14,Simulated_23,Simulated_13,Simulated_11,Simulated_2,Simulated_8,Simulated_12,Simulated_17,Simulated_25,Simulated_5
0,41110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,41414.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,41719.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,42023.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,42328.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,655830.28,655830.28,655830.28,655830.28,655830.28,655830.28,655830.28,655830.28,655830.28,655830.28,655830.28,655830.28,655830.28,655830.28,655830.28,655830.28,655830.28,655830.28,655830.28,655830.28,655830.28,655830.28,655830.28,655830.28,655830.28,655830.28,655830.28,655830.28,655830.28,655830.28,655830.28
6,,672922.88,716911.88,657462.85,671562.78,678585.67,790489.65,612993.41,694764.1,670427.57,653899.33,668833.19,736148.56,686917.89,684667.22,756959.99,607233.01,695230.57,465847.0,653312.67,586428.41,721523.02,775999.87,689468.92,557530.87,701952.29,764855.18,563490.29,570988.0,720375.46,653731.56,779095.18
7,,655015.96,651637.14,650483.94,620885.76,753550.83,660020.87,581605.78,724480.94,490481.9,724772.98,730538.79,534031.24,737778.84,601759.38,654947.85,718951.19,587050.5,685666.2,563452.71,756196.98,719195.57,662758.12,697281.42,787916.42,595224.94,630205.37,514893.69,719897.83,637731.01,556945.09,700135.47
8,,649277.23,583121.79,700579.57,636573.87,760100.0,618049.68,550348.85,591947.32,622206.83,647787.36,767956.83,660258.94,684178.19,737747.51,748621.12,573231.56,608388.93,690138.0,568072.41,657320.45,585602.26,611129.95,687090.58,674319.35,847769.67,630766.77,650975.28,421340.76,540459.68,720941.41,701291.95
9,,672255.79,624908.48,750634.38,604171.18,731215.17,584794.78,747558.61,649818.03,733586.32,675753.2,661189.82,638370.14,626511.74,609842.87,642147.84,598812.66,720865.03,664339.44,570217.53,714294.05,703853.11,702450.48,714720.97,790689.12,630317.27,607551.35,741720.89,683171.82,787365.95,714385.41,542416.06
10,,660127.73,633778.42,576470.53,688449.87,669776.3,639685.15,656364.03,681734.06,593834.61,708236.92,696473.19,690968.5,568825.54,574056.48,712130.38,593691.02,714923.31,646042.4,701124.48,617492.1,579466.55,782560.96,572756.62,642622.42,747930.98,572893.3,762399.42,638143.2,700972.77,744164.82,695863.43
11,,666560.92,658193.57,685437.19,673060.94,626973.13,752404.66,745178.44,729602.51,650881.17,703390.79,742218.02,665352.23,579493.37,733820.29,654956.71,613371.9,694742.52,711880.02,722718.99,724810.0,548290.16,607813.89,774505.45,614874.48,684303.21,570427.96,659791.79,599463.24,759411.39,475346.84,634112.69
12,,650587.38,664883.93,647572.78,494924.03,659236.18,645219.09,658958.88,608896.3,744266.91,811493.77,574703.57,586118.74,538941.02,662141.29,711186.12,647366.71,799733.01,685660.31,636242.95,639192.34,483609.51,689572.67,831209.58,733140.58,539198.6,755411.23,669437.08,561522.43,709118.3,579169.84,549493.63
13,,665372.25,615059.01,626283.06,647706.25,652573.84,703265.57,707844.43,566906.44,702852.34,597515.73,556038.52,710523.94,673485.8,720442.12,648510.44,623736.33,684153.16,570205.21,707204.72,812629.2,675476.76,653518.98,702256.81,744026.8,629093.62,511223.91,574022.22,792768.59,748783.83,647651.87,755407.86
14,,670556.84,730423.74,680460.55,651143.39,574634.13,677539.85,720358.56,589045.05,720996.69,588980.4,664021.36,739247.82,738512.56,609883.28,600402.83,663307.05,668025.14,609263.36,720334.6,628605.0,650354.0,663720.69,654591.05,603498.43,643524.41,637028.08,787939.07,662597.66,687920.59,743822.25,806523.55
15,,648729.48,671435.61,602501.72,565745.06,719057.95,741210.67,624942.5,681547.09,680723.44,700785.86,683221.38,568451.89,640941.01,628810.37,714098.23,676531.55,689059.82,634968.66,558245.94,666433.79,653596.04,809040.91,551821.03,620911.2,553080.89,722032.33,672379.45,639284.79,590717.9,497171.47,703135.85
16,,689229.24,664811.97,789768.11,745303.01,688226.04,718310.68,666562.74,716421.92,690779.77,671367.38,700744.79,744639.44,715072.61,756265.64,784906.55,570147.34,546806.11,766774.35,642036.9,596373.95,644388.79,612952.33,684197.8,652141.21,742499.96,676983.18,775714.86,728530.77,544915.57,691958.19,747275.38
17,MAE,,30598.94,37581.71,40241.78,42659.81,43279.48,44754.25,44783.4,46045.59,46580.38,46593.43,47927.19,48093.34,48622.3,48818.71,49810.83,51329.96,52395.59,52933.49,54150.43,54498.02,54550.37,55818.18,62844.34,63201.34,63447.92,63956.36,63993.18,65332.69,68583.12,70073.23
