,Actual_last_5_vals,Simulated_0,Simulated_1,Simulated_2,Simulated_3,Simulated_4,Simulated_5,Simulated_6,Simulated_7,Simulated_8,Simulated_9,Simulated_10,Simulated_11,Simulated_12,Simulated_13,Simulated_14,Simulated_15,Simulated_16,Simulated_17,Simulated_18,Simulated_19,Simulated_20,Simulated_21,Simulated_22,Simulated_23,Simulated_24,Simulated_25,Simulated_26,Simulated_27,Simulated_28,Simulated_29
389,42899.57205240175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,42902.17903930131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,42904.78602620088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,42907.39301310044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,42910.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,,46745.910261732686,46745.910261732686,46745.910261732686,46745.910261732686,46745.910261732686,46745.910261732686,46745.910261732686,46745.910261732686,46745.910261732686,46745.910261732686,46745.910261732686,46745.910261732686,46745.910261732686,46745.910261732686,46745.910261732686,46745.910261732686,46745.910261732686,46745.910261732686,46745.910261732686,46745.910261732686,46745.910261732686,46745.910261732686,46745.910261732686,46745.910261732686,46745.910261732686,46745.910261732686,46745.910261732686,46745.910261732686,46745.910261732686,46745.910261732686
395,,43678.52103651288,43188.24291270213,41997.3040023235,46280.55994482468,51444.71686826803,49557.08474822666,43945.396189470885,50294.64411369462,49144.243971166805,50254.89122925066,45614.27288425948,50176.719145261195,48995.14789032557,45316.301955950956,45024.84228789717,43460.569863645476,49732.66445553745,44201.41731250055,44027.17656291705,46623.273886557035,52215.51003490428,53426.23113785323,47224.3829929991,49281.81868230886,45630.65564392214,46661.415992187096,45459.108654818214,50404.76942202317,41670.93165470779,48981.603493523144
396,,47049.17368373695,47587.01260226198,45824.88996872058,46193.0845141024,48215.63992796579,55464.90750699102,47951.07101700765,47495.68900342434,49779.45314860929,46435.445384119914,43650.57505116261,48962.17772719289,43607.18977167643,50477.08144302786,51422.36923321688,43111.35100946995,45052.56732973155,51668.56749736892,44375.148126872045,47919.85792665389,42663.48467809541,45267.9176642193,50192.68756042195,43944.96771581227,42320.43586885934,50582.503696387386,47761.16106470095,42762.55355259044,48059.07953930981,41972.08882594321
397,,53133.66388734203,45448.01483192529,45638.785720222906,43010.63381814643,49219.915416658725,45943.203683607135,46927.92428546016,48710.60074956546,50380.25811349878,48213.68004216825,46895.730930015445,47840.29681063071,44827.57943699688,50774.50664575178,52410.18146099148,46822.854538531814,47649.411680135614,48691.62249583237,44169.52313885074,50345.262279263894,46908.52533976102,55983.15444938031,51523.506956935526,50078.22904236307,45590.556749884614,50892.438283689036,49073.73761292128,47281.843806044635,47513.37959458168,42631.198995467406
398,,44968.316121208205,43169.75065986155,49925.7435852349,48080.87558359048,45290.4024491028,50013.74711012712,50166.638477543675,50939.02394351872,47939.41486141489,51498.522276384356,47969.29718397662,51434.62544805288,48358.573870099026,42754.908708801566,47603.28939960849,46967.00504490737,52476.830044956005,53578.644815407744,46222.35436996517,45661.2075270807,52918.34285194152,46699.83086979425,48772.56646010317,44469.366815333604,50382.47682112355,52132.19345285251,46527.059715868556,48464.33675358227,45822.86294588557,47155.8783336102
399,,43475.26087710382,47641.39417163021,49249.31978388889,50256.71844507919,44346.55627492317,54577.083195004925,43931.952125120224,47706.99309951467,46399.17292543515,49685.54768303046,51334.724738136356,48778.479479061614,48525.11400446253,45643.64877943473,45896.02132335456,49646.09186920966,45011.44138214355,45131.98781223503,45440.45018124374,53414.983861646935,51627.37163667537,52959.81121438185,51913.818474252774,45384.29306623479,46085.504800558214,48169.48942321732,44222.56769153542,51923.09500035005,44328.85741281606,47289.578774782916
