,Actual_last_5_vals,Simulated_0,Simulated_1,Simulated_2,Simulated_3,Simulated_4,Simulated_5,Simulated_6,Simulated_7,Simulated_8,Simulated_9,Simulated_10,Simulated_11,Simulated_12,Simulated_13,Simulated_14,Simulated_15,Simulated_16,Simulated_17,Simulated_18,Simulated_19,Simulated_20,Simulated_21,Simulated_22,Simulated_23,Simulated_24,Simulated_25,Simulated_26,Simulated_27,Simulated_28,Simulated_29
177,42887.68224299065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,42893.26168224299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,42898.84112149533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,42904.42056074766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,42910.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,,75536.67701537887,75536.67701537887,75536.67701537887,75536.67701537887,75536.67701537887,75536.67701537887,75536.67701537887,75536.67701537887,75536.67701537887,75536.67701537887,75536.67701537887,75536.67701537887,75536.67701537887,75536.67701537887,75536.67701537887,75536.67701537887,75536.67701537887,75536.67701537887,75536.67701537887,75536.67701537887,75536.67701537887,75536.67701537887,75536.67701537887,75536.67701537887,75536.67701537887,75536.67701537887,75536.67701537887,75536.67701537887,75536.67701537887,75536.67701537887
183,,30341.19910848286,92292.20547651357,123721.8354527422,69533.5005863055,97998.81323609143,83894.17346439135,111380.66902676535,43656.92479052284,89800.4010004146,97699.28408473154,96394.67490359275,58737.25597243449,58421.243425564055,57347.26349212278,17599.27563161029,96266.32637353106,102523.05973223754,97515.76258155543,95378.80156083402,58219.92061877148,92694.16459324842,67742.89846138762,72447.82874662557,45909.448017824165,100960.11376507679,73222.96784859881,40175.3958657756,46540.48126575632,95423.96695830917,124952.46859649077
184,,84762.47551738354,98853.28096424772,129443.10016988905,60441.8601668903,86403.07467029257,29190.382115012166,12158.369944862145,81824.14831413842,90586.76082409028,59624.67290020692,80619.66876018702,53795.078385515626,97758.40324008775,106174.96354232299,81074.6178483724,38209.12729570943,70228.73005016142,109252.3885586083,89855.55801110194,66893.39990405866,8021.581663201599,110244.09311524984,87440.28755391033,91583.85004521352,75026.11318231786,42201.05388952743,71492.12198785652,55647.60665329776,98987.771105692,51433.57475338492
185,,136742.40726609662,93248.46547643995,22449.358549681067,42139.768876458016,10616.788759785799,94858.71588070024,120890.28359120034,138788.1513554581,69647.31918144684,58214.58459175494,40358.31989833664,62579.67084334424,65013.672452018436,104856.64263167129,103505.51153888303,59341.97863643304,11437.808116550015,47645.82116126436,33225.90173314143,109337.33473786825,75874.56215378878,128740.92811841493,83378.91074774394,87667.41847928194,62429.63580343905,74684.03394107232,63124.14239708103,43364.40848543967,123309.72542924924,21952.498440005405
186,,53018.952784849345,58832.77673947018,86100.42723293044,32946.360703711056,66249.27446750224,81908.48816662448,100462.8498840094,82103.18408113402,125092.43698809009,54688.86307855537,70992.48947887064,43394.07024940965,50724.47169603025,25042.169493851183,83942.60424030802,83643.16721066972,-8186.400850523722,85877.27745100198,65196.91357767534,57131.448759137595,124526.76882110568,100843.17462883951,65871.75102612439,60912.73376997157,124425.1647469191,47375.80716695666,70480.19265251349,60920.00451141654,35600.876638688314,125993.72876551966
187,,72729.02745767754,99796.78432554609,75620.98295145344,91245.86436663725,8592.22418839315,140465.56399434246,48972.77195691497,66795.56865052217,97057.91760591588,137195.09619397225,41562.10131389471,19998.518264076,57889.15487092042,35040.39675761027,68798.51331050505,57188.214216423105,59937.022165246686,46639.99533119456,42679.3204370314,53220.7075011818,42503.56203766606,57014.65788833039,21605.46612834853,49547.93940583692,113285.40595959968,63485.79630522737,31723.2537615162,61702.63063849599,66197.0072765378,54598.71878143089
