,Actual_last_5_vals,Simulated_0,Simulated_1,Simulated_2,Simulated_3,Simulated_4,Simulated_5,Simulated_6,Simulated_7,Simulated_8,Simulated_9,Simulated_10,Simulated_11,Simulated_12,Simulated_13,Simulated_14,Simulated_15,Simulated_16,Simulated_17,Simulated_18,Simulated_19,Simulated_20,Simulated_21,Simulated_22,Simulated_23,Simulated_24,Simulated_25,Simulated_26,Simulated_27,Simulated_28,Simulated_29
363,16985.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,17177.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,17286.333333333332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,17395.666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,17505.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,,4343.015329512784,4343.015329512784,4343.015329512784,4343.015329512784,4343.015329512784,4343.015329512784,4343.015329512784,4343.015329512784,4343.015329512784,4343.015329512784,4343.015329512784,4343.015329512784,4343.015329512784,4343.015329512784,4343.015329512784,4343.015329512784,4343.015329512784,4343.015329512784,4343.015329512784,4343.015329512784,4343.015329512784,4343.015329512784,4343.015329512784,4343.015329512784,4343.015329512784,4343.015329512784,4343.015329512784,4343.015329512784,4343.015329512784,4343.015329512784
369,,17939.863359788462,1764.922578940017,15703.184751560511,6173.063546595145,-2164.6709327558,1554.348337527204,2028.5616642469804,12005.949083286414,2607.128619152275,17708.865097776743,1453.4034984086072,7414.996970604982,-6481.647478266984,-2777.9086585686173,-7844.434590274481,-3093.2900674446587,4324.777959984429,5034.920517207644,17723.1305244039,4062.489705531595,12080.095666663943,-10448.389350382085,8260.462906616289,9347.379389843143,16256.02935883333,11648.446772669999,5693.712752733988,17251.95027428109,674.7266138080042,18292.59582448096
370,,-7342.665210272044,24855.613838304256,21025.918767652205,-2431.9443357764812,-2865.373150027326,-1604.485485302342,15195.963559370719,-4404.597172144242,9691.961892997731,5407.475804719137,447.5182674782517,3105.0257993857836,-5108.606653746933,10672.09784697651,13944.261898231089,856.7899765003267,1045.9462628128194,16204.243926495328,4120.49719583984,-15837.326193278313,31266.774566421253,2634.29928061575,14705.791228124948,799.6338802675284,2622.9551014548265,-1877.0358453680888,11728.76409627989,-6746.484957938957,-2217.4734331283216,17869.675436295212
371,,10508.990590333484,-248.17634690268642,220.9928723366652,-9208.086264794834,8376.127969552399,23340.34220418918,11865.470114578025,11667.457848638938,-2436.0821046216365,-990.4466015838059,15559.265763107458,-5570.149718105173,896.056327482631,406.76103448636013,-4045.02605925674,11860.650113038593,-10093.107243501947,7354.826939113807,3972.1208248471794,-2640.377503846979,17425.38658741738,3326.0053945812783,2423.7442728198594,6547.700073942327,-1156.5961699230552,-1044.9691366229372,-799.2462860225701,8888.958381207758,-11588.603325381824,4153.384131271364
372,,4024.366674228721,17250.52628081195,-11731.082965175072,9742.045649252013,-2773.1027860414533,15688.861522993455,1873.6337005980129,7606.131742794419,-5456.525183602562,21136.776198664116,-2639.636986020255,10382.695642429811,14386.571733430204,-5554.515512045968,9684.544224146357,3376.145573376452,-8179.827082642888,16565.235971901457,20592.000948466542,13872.889373357344,2939.5449363770713,5950.219592525343,-11027.715941824466,12961.838426260561,-4250.659685943804,1545.8948309830116,8148.242188069746,-5013.072218950602,11330.073542646574,21504.372953505444
373,,5350.928915270263,10176.866480882814,10349.346803484192,14851.673488498078,6419.517853400345,11637.81668347597,13855.640766283084,-7348.069284854302,19603.515154451557,2821.8162979714134,4559.36270590483,8067.470282039131,404.44973209465456,5334.5645184344785,3122.1134335176666,3399.263844663037,4696.370756267044,699.6526802701411,7312.0319900791965,5499.864465410747,3085.2882354193016,5585.443287967012,9631.281447938167,7112.743839977681,5962.501777035554,-11858.863300652674,-358.3418459124523,-5021.990487783566,-195.90936660053018,4407.3185572271295
374,,-108.68220676812808,-256.0317108084623,15410.607061397379,7356.221043010808,2349.497106038296,22166.46591988368,7909.829920355683,-314.9506774535248,-6086.966999856078,2703.7653538146974,-214.25863408594137,14038.383684140717,-6815.822421828643,463.447421987956,11506.044310829275,2697.1468704744357,5416.283110471826,-1810.1000659883894,4624.291146629084,-6650.883799738579,1241.4548074919708,6778.1361743013385,5684.521815236595,18489.938632321984,-3634.934966557249,9830.892027471134,10674.252451077644,-1164.7150299237333,-7679.833770506011,-14422.291023361498
375,,10285.635091083741,8220.488684904716,18229.45410480366,3579.604805312749,6338.923396999622,15601.866872293649,6571.780034418147,13055.436072249515,7325.7823107335735,-3087.67849578392,3169.014672182684,11137.948590695554,13286.20957341449,8789.38761524811,4273.7567719623175,21544.754384316635,8832.300992707356,3454.6087149539426,3779.8714710995782,943.8519092907245,12005.119501705265,4002.684001698629,-4144.96823027317,-701.0794211790583,8103.276932701621,-4758.855688883201,-4689.646089970034,10653.500625896819,2111.3385176230013,-4010.6592117385367
376,,1438.8448045540777,21699.559996374875,8368.303500964337,11198.924773225703,-8385.413262949998,3569.1755878931845,-3430.726925010685,-4763.145025884529,19182.311278967194,-12807.64126686871,281.9026617834784,11056.673525740383,6500.555985134068,5541.768471768501,-4567.274933021715,22511.56844940759,16068.735880235985,1074.4810698537462,3264.218868870702,-3979.047950729697,10553.894367852196,15737.043798965944,19523.972204710306,-1078.9385304508528,92.47300262897534,15158.41699007868,4209.451099958296,8673.153485200126,-5201.2444659020075,2490.476997587778
377,,-2050.893383266627,13142.05133984499,-2672.3749437700044,19667.255957854108,10626.202525154562,13652.862891028934,7762.043892042953,7412.122588727949,1231.3119691085747,-1188.4526810988862,6838.78168487843,8389.24489461843,5496.040047457795,8316.166622168495,-518.146783971686,5626.257118012277,-368.4750961185789,10929.70237373107,4639.24614084633,8995.693727178263,5306.730570439787,19952.29087095421,11803.244053069,12742.431760489571,2676.778833845592,20224.504530685037,11407.225018866397,11599.024428575576,2149.7437543718124,7419.042413954647
378,,14412.431221351682,12228.112337074901,30422.498317669062,1256.4142619944532,-7510.677197354654,-439.7808065430138,1709.075228743124,1091.6321819501406,-2075.4065689755107,-2752.729837643793,13538.737454570974,-3866.0007330245617,12997.100598834972,3281.0968919817055,14719.450399341747,5901.056137566167,-5972.230286068322,3897.2309058986775,1146.4547339133874,-9204.730661487725,14461.009056436345,-11366.037496602796,-4821.63120161802,1070.951169479321,7186.7345712662245,-3546.6517779880182,-5346.555017273025,-6454.640075780146,-2270.1552384523025,12422.37981430507
379,,-5895.457871286185,39915.059520141585,16862.335531402878,25599.178922757117,24421.076139723154,11724.5572702545,2886.2776366875064,15196.321596437894,19911.76886003693,-13965.195005227906,-1184.6529412641285,5353.40101591208,2835.5073687976565,-6063.832249883265,335.944208283911,3612.0085508525744,21245.606821681795,13893.20110750917,15500.691826015782,24495.865474695245,21590.1753392036,-2620.4206097717383,-4673.124741310281,9448.605396798528,13123.22458896086,-3965.629773581205,-1882.4023862104036,-313.2270149911201,-19017.506745829774,10939.322343055335
380,,3859.0573692012154,12120.02534175112,8315.652455548949,4304.427055032043,-14503.791243986281,6397.194590682394,21893.27527131795,-430.2586218582635,-4893.161391795451,4549.3677260153645,13116.854503899212,17530.43435522424,5759.142891467958,-4337.221767193597,7873.048057173326,-1990.7787927078875,4577.0917342380435,11071.492769676446,16286.291371005269,6236.829014145083,18384.23043008095,-14871.03266328525,-1637.85141098809,780.2852842664124,14603.35661936289,-2807.3423920131363,-18355.49911271669,8043.002901486548,-8587.348495013603,3833.5472227398345
381,,13667.265666238081,14826.793224862911,-5935.523282972755,3211.082213972669,11840.789251378612,-6886.877752240256,16611.528533578785,-1112.2989990032381,10423.364317179734,802.394059457818,-2298.8089808325362,-3306.6440861792444,-104.63469661213537,2222.5755113815226,4386.984301371575,12984.154207446816,7983.625498316554,4957.119524139078,23588.57134360247,6096.88464685607,5289.587956221849,16139.1798914781,-2881.748398158998,-2160.806409399728,33445.10380583643,-1999.0689970244584,-4735.558699055072,14909.379991051079,256.6492014052767,-3324.171580498577
382,,14430.677431151315,16095.574338580018,16603.38834494874,20887.05876579715,-3113.809702332376,-884.8238758893552,5759.636672304128,-15419.277643086778,15038.802598165246,-2079.546034205523,-693.9493361089417,8750.865486413959,-2568.83540436413,11742.061573432547,2014.1058472879918,2772.0224444901683,-3361.1821080941563,13165.336424706296,12951.690591937619,25.70781555738222,23702.795885327527,733.6436875960532,1991.234840717289,5711.064261830937,8847.035602282773,6874.24739815076,11082.428595760737,8577.858575019432,3139.949687287866,13671.784525633362
383,,13738.547515760978,7979.0291203075,14304.852472242897,13264.687389936305,-4992.459733552911,7761.849978865879,5748.900409756921,-652.0139508647392,10128.006664118915,-9930.710828639703,8964.693100138435,9551.510986776162,11539.225218050815,13164.796759590423,-15319.11826458703,7127.082105181666,1956.777011595636,14446.850145081815,7699.601546253598,5663.26060026231,6840.211546560649,-3891.8523200334535,9451.065377523291,16470.527503025864,12309.421098895647,1060.427783060314,5573.5484382488885,7245.0614042337365,9404.264327484107,-13714.731839611772
384,,2321.08601069632,24288.378058827417,10380.750995583892,16644.819185654855,5284.527719093389,29938.909974501887,4262.977352371243,9731.621774424402,5433.952930174163,11473.773662549418,12804.544902356458,8962.19607419369,-1894.1235649011132,4732.875221095193,-1466.7353052400308,8898.17266748715,-754.3196426856639,-1844.3874634566703,1629.0685917770375,6902.342061389911,7707.973799959913,-6734.438679192939,5957.829463335375,9110.710425363239,15081.31080834296,3722.5698533098866,2052.680893480536,1106.5969927343297,3198.557381150166,3243.3222116169704
385,,20380.142833665985,2570.51283250013,6947.397814697378,7838.581767400081,7178.8981088558685,-315.7520089902084,24054.17150968487,2328.424643198821,10700.538463463223,-2100.9213319064993,-457.3034126412981,3757.631127210284,5228.735387262561,11169.330635860953,8101.538854639158,8463.985766974583,-5330.759543189977,14532.133570435348,25623.831208037984,-11826.896906574746,15917.574877068882,4321.911301750826,9492.214449226098,2558.5349363936934,6299.961627102374,-3701.8734068570348,-4724.1302556193305,8060.374806499907,-10508.28006140138,10976.627545068422
386,,4480.45168882023,1609.1001884204359,22032.08295392959,21549.95089278725,-6337.488503963369,7356.316589195938,9073.181763313149,1809.2727659406614,18467.21012444414,11689.322968038741,-4895.787812310482,-13408.413037160706,27508.329145811083,22856.24382503144,5309.958237753588,-5230.925318634204,7172.130110361823,26244.69214927321,24875.146898890012,-15826.713274607948,10741.722784939095,7546.575175033189,-4958.992620430988,5742.735838057339,12107.321309770963,-1643.5426841209128,8436.227822088831,-500.2891310396303,4880.7531467536455,-2197.5278942166506
387,,15862.304848134036,18335.537770419258,22910.213500622798,15505.613170947787,6159.995556376974,-3600.2562807026593,3632.735761630727,4390.969097305704,14730.513932473514,-8138.5264321832565,-2470.767721261185,10939.417548620446,29212.09326660403,-4077.2140357252583,14659.608665788666,17535.960916680673,6738.205663395266,-990.6090237582355,1271.6807435782262,-8444.041242976002,13103.027164896492,3225.02289227449,5629.106116652812,-5303.478012551714,-934.459496241893,-5600.420195168525,13300.248548168553,17975.61860903285,-6184.918802636441,-216.8216668727564
