,Actual_last_5_vals,Simulated_0,Simulated_1,Simulated_2,Simulated_3,Simulated_4,Simulated_5,Simulated_6,Simulated_7,Simulated_8,Simulated_9,Simulated_10,Simulated_11,Simulated_12,Simulated_13,Simulated_14,Simulated_15,Simulated_16,Simulated_17,Simulated_18,Simulated_19,Simulated_20,Simulated_21,Simulated_22,Simulated_23,Simulated_24,Simulated_25,Simulated_26,Simulated_27,Simulated_28,Simulated_29
155,39587.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,40272.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,40957.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,41642.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,42328.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,,34729.980112697536,34729.980112697536,34729.980112697536,34729.980112697536,34729.980112697536,34729.980112697536,34729.980112697536,34729.980112697536,34729.980112697536,34729.980112697536,34729.980112697536,34729.980112697536,34729.980112697536,34729.980112697536,34729.980112697536,34729.980112697536,34729.980112697536,34729.980112697536,34729.980112697536,34729.980112697536,34729.980112697536,34729.980112697536,34729.980112697536,34729.980112697536,34729.980112697536,34729.980112697536,34729.980112697536,34729.980112697536,34729.980112697536,34729.980112697536
161,,43712.5420980693,32300.32379414329,29930.952560128768,28485.65100735461,33138.90865410598,33922.05099845188,36753.21545916263,34982.57712664605,34660.42572521012,47063.88515037116,38659.54359043772,34534.88508768198,36950.160089164325,39862.93665357485,40516.30263420687,38698.16946036291,29636.251920134928,29904.37190199666,40704.36505977472,35061.70256317896,31814.274550794806,31008.881502896555,37697.54528348983,36608.839744912664,36845.50152821166,35804.34444548425,36258.490845708555,28458.231941870836,37332.40727011331,29953.89259934405
162,,31411.75106448349,46039.02187110255,40010.87337306058,36350.77497439711,34408.128580910554,38521.488857501274,33004.363806952584,34045.33393290655,34889.4998155065,30470.15827639928,40175.94842006373,31568.243826615024,30561.1059588153,29660.837322594693,38030.60704022455,35841.714864303125,32653.03293650443,31608.54140658161,31071.845037941974,39022.22390047456,41330.94087709172,29784.62026616071,35797.18164908853,34029.47155030814,38516.38566928849,44479.691100480806,35649.280036483586,20736.21126508309,34897.26790405922,34312.56617814646
163,,37408.74007451871,36457.32509473782,33529.975593959185,37321.161823587434,34361.52021530465,39134.740461146044,33650.199932772426,34471.96414216822,28905.157200262085,37527.54809868721,33779.12642466492,30193.103042349452,45393.65215267323,28885.10618545645,39495.44816726776,42862.402522204415,27697.481116258125,43311.48034147993,28575.98886114523,42269.55805166864,37056.30660397671,27867.27095981755,26736.007264031396,37253.64223287491,41775.89869614178,39397.59451739409,39167.37701319692,28250.80715838279,42564.61410209525,30214.94177253994
164,,27707.210572645927,37604.887408400224,40794.46393008143,35636.61740506085,42753.57458407835,25655.260328404816,33542.30405414046,37701.799465909535,35503.53763986558,38096.36724930528,27840.528713541673,31921.76264302564,24916.515023159976,34277.25477214447,40325.110768952225,36405.45052075359,45170.580745828476,41137.47714092017,36912.577192298544,24064.239688918107,34209.037646478944,30031.038230381106,24996.19886810058,37925.00207432949,29145.29447292108,34015.187595068644,37022.76488867289,28889.051759266626,42094.08966024669,29828.824383919266
165,,21446.957055245395,32236.69205169573,29976.357896760925,40762.11381290976,36535.73930640105,37153.34436858673,31485.646053662025,38161.32001066935,35104.230805258594,37100.04622155228,37629.93297495352,41572.56642542321,29892.714499327547,35477.07574595161,36287.70839629714,34933.050999082625,41366.59546195984,36966.45252290727,34922.187579016274,30241.607355358963,32668.37516204877,31946.78798341009,26681.014436878133,31343.061981165494,38446.75786365767,29234.16750675326,33704.995768046785,28826.96112030792,30895.5785409384,42032.271259726665
166,,33584.73531186744,35727.797944405946,31565.68719289671,40752.13506296246,42810.81952966449,24549.04359171497,31592.440950894612,39464.5159486025,41408.655842140644,29233.9640410827,42250.181698641,29922.126609562485,33303.21524863433,36974.65015793781,32678.958748060515,38814.913660378406,32259.963315210432,20238.697169845993,29851.386760523485,32785.938123756714,26676.710237990614,26855.528269080714,28257.668897537074,34896.62832678522,44622.219720876776,36494.79516373463,33635.182633615164,26068.84118090115,29753.961087678792,35267.90080195401
167,,45422.551919708734,28770.63634203717,33594.60359667336,28704.397899501673,43383.985454397174,27076.202522560176,29604.186292461432,32339.30164107606,34344.61743281577,38494.85988362226,34668.610014515834,36952.171236692506,28004.45205926226,26373.318583652996,38602.335519289,41496.339195437875,42220.848036402254,38295.990776576364,27358.43393620329,37633.94439487535,38393.47146871117,32275.863713554354,34806.09778673478,36986.4080919179,31950.32591953816,39664.36778625831,25468.947278081425,35333.03169975249,34946.265280976986,36518.271635483194
168,,26305.459340524903,39289.48498939695,32202.585168105543,33394.848677523434,36411.87121021496,27852.31125531639,34872.53168406758,36447.68118234729,33745.12098225488,35021.335260333326,38536.30350231451,30971.154919213615,33612.270122864385,30071.647946013534,34841.04499544603,32756.46558356608,39921.00124324737,37977.744404948004,33574.96779342922,31308.151781586363,27896.40550204081,26902.49697392963,26915.304798998834,42245.68863601685,24197.99262277282,23575.44190488849,39114.41873327896,36219.9974529935,46313.78836236483,29470.320920432285
169,,33069.94125810748,39474.057771030486,39929.35968809014,38189.42525850231,33083.9448775232,31911.41037523275,25824.58377354954,28980.960508091295,36492.58133308577,35641.152395782716,28401.197215179473,31298.425875475754,32655.471893283542,40522.34414743876,37675.022729242264,33961.89689887863,43265.504126623964,30379.93224149335,36010.63264867284,37948.298464714426,30568.917745342256,29682.77572494887,40917.69140498094,34806.59520359215,27984.22568187613,39658.29673888516,30832.3146571339,35380.94096036135,38112.82409707856,32220.590302490462
170,,29370.704351543718,36574.938682158005,28175.234290564124,36256.58559738689,19230.636662809084,29586.244332401082,30404.14612403539,38177.712419179916,37655.87539827677,33260.20243497087,32072.62867281593,35083.89378274129,41358.13172640951,35447.20733217511,38417.99497450544,40234.70044513197,41984.565856830646,35566.377248030614,46407.434580370806,35620.60789341011,34072.92952018479,39537.998765252785,30300.39822881169,42209.94806101158,35869.483616536905,35418.04288435685,36009.09609959955,35545.385633459824,30984.212608383943,35999.109960017624
171,,26763.16406905329,36263.06332155016,35342.193905820954,41406.13117054506,35876.912688479,23641.336632189246,24354.513125098772,33245.540466310296,34874.06863416074,34808.63252044785,34807.01652578669,35684.38951310182,36759.01624636902,37845.155511545745,32639.50852604105,30208.31296273426,37075.654733330804,44089.774183415946,34963.17313265974,30281.35220582249,30058.65233680247,25509.727330088885,34556.59456371477,42685.77725311663,31148.26448255767,37482.24442140302,35522.01942858148,40577.10151868042,37629.49853955031,36777.74409102139
