,Actual_last_5_vals,Simulated_0,Simulated_1,Simulated_2,Simulated_3,Simulated_4,Simulated_5,Simulated_6,Simulated_7,Simulated_8,Simulated_9,Simulated_10,Simulated_11,Simulated_12,Simulated_13,Simulated_14,Simulated_15,Simulated_16,Simulated_17,Simulated_18,Simulated_19,Simulated_20,Simulated_21,Simulated_22,Simulated_23,Simulated_24,Simulated_25,Simulated_26,Simulated_27,Simulated_28,Simulated_29
389,42899.57205240175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,42902.17903930131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,42904.78602620088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,42907.39301310044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,42910.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,,50765.514473732575,50765.514473732575,50765.514473732575,50765.514473732575,50765.514473732575,50765.514473732575,50765.514473732575,50765.514473732575,50765.514473732575,50765.514473732575,50765.514473732575,50765.514473732575,50765.514473732575,50765.514473732575,50765.514473732575,50765.514473732575,50765.514473732575,50765.514473732575,50765.514473732575,50765.514473732575,50765.514473732575,50765.514473732575,50765.514473732575,50765.514473732575,50765.514473732575,50765.514473732575,50765.514473732575,50765.514473732575,50765.514473732575,50765.514473732575
395,,55142.85304505357,55300.29085400631,50945.333132128144,48170.047323733605,66141.73606332866,34026.10406736383,48935.27615437801,47818.40265399264,44588.73970395929,57963.77565195011,44205.11000038672,44064.154113589255,41325.31030855189,33583.42390077116,51205.977044980966,26694.471751383535,39207.69530959482,26521.445438610346,60583.67771677105,31168.361142711856,41084.549512655714,66369.18988868548,48630.292179798,49807.98283361674,62481.10755911113,34504.23773904465,41505.2979233011,51535.459502188955,63517.09963412377,53667.469642460994
396,,57375.587792234815,82469.65039278506,56526.75387541074,41613.006788232226,58273.56375485112,66585.83356437706,48873.060961551644,55061.17997403855,69630.6118202879,23075.602517223826,53356.094032387584,49590.649467875555,36545.237680250364,45272.182342861786,42438.55832264183,51676.1880603851,49985.89146176379,40640.40364126123,62345.65912642869,59255.553686145184,48604.99258588961,43863.063124078624,60899.22376935561,64968.13806776043,48612.52466907493,59393.478498321885,42729.383377892016,59997.7887985751,39231.41848547812,60739.4050306175
397,,60211.748630470494,45935.6920402657,52354.288067854824,42666.51087651306,48912.89050751443,50160.010278399575,65459.65585122121,57436.37940984718,61377.905723628246,53543.31132569083,50665.27708431691,43156.26126372638,50638.25980113684,34734.580171537,50664.532705058584,41028.17262805748,55760.87329303832,46844.73865354633,46354.380181722954,64582.15882424268,50865.13977751204,57167.29178262388,39120.699213732674,67707.31147486466,43939.560724681825,56530.09456259041,58622.28031722038,53236.835907085675,61445.10479527264,67377.4636106802
398,,69751.95175714794,36415.76235632249,69465.11488964417,51212.495734913915,61925.31300447901,32521.02984750938,49526.20874305869,34610.055443478144,55533.10347254498,46267.64299780527,50063.14019877486,57594.20707391953,46471.85637164496,41528.4089830732,42758.430636985024,49271.01845288853,43020.48317666669,45475.42941759809,37450.389182870495,42236.16953265161,45011.81262824661,53081.35560108982,43592.15700818437,54671.24410906824,58749.560946517035,47174.40084226187,55756.90983811069,59386.788072684154,48319.55125996522,66826.85824769892
399,,59058.32397439488,32081.56865461758,66937.27261013648,61875.47433422248,32068.38597720914,46870.9844959996,61186.75162789192,62389.19584054005,64465.67322915481,57045.13300198712,59503.68559077813,52435.79935412781,52809.49047219023,61942.8099925126,48233.21941121519,65122.586624146206,36735.724761035555,49298.008320627254,58916.07806674336,61261.87086220132,39050.730384047936,56824.25120474726,65598.76420585084,43688.82935654597,62607.41453630121,55600.70154669763,50631.98877429758,51568.68150351423,42546.41741308059,54146.6196869488
