,Actual_last_5_vals,Mean_Simulation,Simulated_28,Simulated_16,Simulated_11,Simulated_26,Simulated_17,Simulated_18,Simulated_2,Simulated_1,Simulated_4,Simulated_25,Simulated_14,Simulated_27,Simulated_6,Simulated_9,Simulated_5,Simulated_8,Simulated_3,Simulated_12,Simulated_15,Simulated_13,Simulated_19,Simulated_7,Simulated_29,Simulated_22,Simulated_24,Simulated_10,Simulated_23,Simulated_21,Simulated_0,Simulated_20
0,39587.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,40272.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,40957.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,41642.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,42328.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,36910.08,36910.08,36910.08,36910.08,36910.08,36910.08,36910.08,36910.08,36910.08,36910.08,36910.08,36910.08,36910.08,36910.08,36910.08,36910.08,36910.08,36910.08,36910.08,36910.08,36910.08,36910.08,36910.08,36910.08,36910.08,36910.08,36910.08,36910.08,36910.08,36910.08,36910.08
6,,33104.85,45101.93,26956.49,36294.97,32669.05,37966.3,31443.54,34450.43,22985.73,33777.12,25390.28,33515.81,28208.05,31685.64,35380.73,39552.18,13366.76,49916.67,44783.45,44712.52,21759.36,43157.43,40227.2,50147.08,23145.84,13759.8,45230.43,20983.04,49978.49,29021.78,7577.4
7,,30196.69,30279.51,28074.58,29593.42,34786.78,29182.91,27357.83,15770.6,33720.51,22676.31,43102.79,17618.36,20483.25,18022.93,27596.37,43067.92,41251.43,24519.77,29354.25,37111.04,36831.68,32702.22,48958.96,36990.13,12235.35,43347.34,9735.0,18870.52,28568.67,40847.4,43242.9
8,,33201.48,32499.91,36548.0,23572.39,44211.86,21814.63,33614.57,30195.67,38431.02,30838.51,25382.41,42719.47,42446.14,29298.25,31727.89,23736.6,32374.87,32537.12,27843.14,21346.35,25726.89,26442.69,44687.27,36192.4,19559.46,24562.88,50818.24,39024.85,27454.26,50833.47,49603.16
9,,35344.46,32306.72,29220.08,35032.93,43760.49,41003.89,20648.56,45243.08,45851.25,45861.45,38354.07,40408.57,28431.65,51782.34,47873.71,39902.38,39122.16,31031.19,49853.51,29837.63,20503.02,47120.34,24942.42,41973.19,24324.57,35389.49,29355.57,19406.62,10391.78,44726.99,26674.1
10,,35716.26,38778.73,33079.39,44002.36,36107.18,38041.17,41660.2,35320.5,35714.42,45187.63,37009.26,30241.28,31406.37,37368.77,18723.68,40272.18,30792.77,20582.6,46347.64,28056.51,41307.28,18169.09,38351.64,54448.38,36201.99,21690.81,36440.46,48183.69,46416.6,14557.79,47027.52
11,MAE,,3146.95,3396.37,3670.02,4140.54,4207.74,4258.85,4845.31,4896.85,5090.66,5457.06,5507.73,5846.27,5931.1,5978.6,6316.21,6720.1,7100.01,7169.97,7257.29,7647.92,8106.66,8401.3,8697.91,8844.66,9200.8,9486.19,9612.77,9983.65,10484.46,12492.83
