,Actual_last_5_vals,Mean_Simulation,Simulated_3,Simulated_29,Simulated_1,Simulated_11,Simulated_14,Simulated_26,Simulated_15,Simulated_24,Simulated_13,Simulated_9,Simulated_19,Simulated_16,Simulated_21,Simulated_0,Simulated_17,Simulated_8,Simulated_10,Simulated_22,Simulated_27,Simulated_6,Simulated_7,Simulated_20,Simulated_18,Simulated_23,Simulated_28,Simulated_4,Simulated_25,Simulated_12,Simulated_5,Simulated_2
0,76147.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,76510.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,75578.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,77231.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,81133.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,83805.98,83805.98,83805.98,83805.98,83805.98,83805.98,83805.98,83805.98,83805.98,83805.98,83805.98,83805.98,83805.98,83805.98,83805.98,83805.98,83805.98,83805.98,83805.98,83805.98,83805.98,83805.98,83805.98,83805.98,83805.98,83805.98,83805.98,83805.98,83805.98,83805.98,83805.98
6,,81001.89,82709.55,87159.03,83081.94,78174.7,84405.62,85462.55,82953.21,77704.53,83833.23,86898.65,90499.1,77044.02,81695.72,90512.19,87352.17,87275.52,69594.81,72502.45,73499.26,72909.1,90403.99,72870.19,70311.8,65072.0,66641.44,70735.82,79030.25,89440.58,96895.74,93387.54
7,,82916.64,86306.33,85502.74,76764.0,88990.97,84575.64,89438.74,68710.24,97339.36,80691.64,76921.08,82770.32,87103.28,78918.33,73595.97,85153.58,81323.35,85063.5,75536.28,89601.83,80052.98,73992.01,92390.77,83596.44,90695.71,82647.4,86733.93,65215.87,89927.31,72335.64,95603.94
8,,81128.02,81262.17,79774.09,81700.99,83576.6,88025.91,85462.46,82569.71,81275.25,95108.9,75910.56,85083.5,91079.43,83926.27,77810.5,68840.27,74694.3,88865.24,88718.19,83393.54,89657.87,80660.37,80420.8,85216.21,72121.47,64393.46,85313.17,59342.0,83750.1,71440.6,84446.61
9,,82898.75,83366.39,84849.36,84563.09,85789.99,87529.72,79945.95,87324.37,88673.55,78150.82,78126.81,91286.26,79871.94,77779.17,84204.57,77813.52,78069.58,80341.52,80636.34,84385.08,86478.44,87636.07,61598.97,96508.12,87853.4,76393.29,63138.64,91798.27,63963.5,96668.86,102216.96
10,,81552.17,76611.46,80768.14,78818.12,82428.51,76461.45,76331.66,83133.89,81695.56,81139.25,78903.15,78517.69,76885.53,95002.63,77978.94,83661.13,72547.07,88210.22,89917.71,99222.77,67499.46,65864.69,81584.13,92818.3,78667.77,77517.03,76814.05,82419.7,97321.1,72305.13,95518.72
11,MAE,,1773.31,2138.64,2200.68,2519.61,3613.72,3915.09,3934.46,3964.25,4033.01,4088.46,4170.17,4298.23,4343.41,4504.59,4678.19,4689.15,5084.41,5682.99,5935.05,6186.45,6536.53,6607.47,6722.26,6759.09,6984.14,7127.79,8537.58,8795.94,9863.24,10279.38
