,Actual_last_5_vals,Simulated_0,Simulated_1,Simulated_2,Simulated_3,Simulated_4,Simulated_5,Simulated_6,Simulated_7,Simulated_8,Simulated_9,Simulated_10,Simulated_11,Simulated_12,Simulated_13,Simulated_14,Simulated_15,Simulated_16,Simulated_17,Simulated_18,Simulated_19,Simulated_20,Simulated_21,Simulated_22,Simulated_23,Simulated_24,Simulated_25,Simulated_26,Simulated_27,Simulated_28,Simulated_29
185,57188.16666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,57188.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,57506.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,57824.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,58142.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,,57471.77259571842,57471.77259571842,57471.77259571842,57471.77259571842,57471.77259571842,57471.77259571842,57471.77259571842,57471.77259571842,57471.77259571842,57471.77259571842,57471.77259571842,57471.77259571842,57471.77259571842,57471.77259571842,57471.77259571842,57471.77259571842,57471.77259571842,57471.77259571842,57471.77259571842,57471.77259571842,57471.77259571842,57471.77259571842,57471.77259571842,57471.77259571842,57471.77259571842,57471.77259571842,57471.77259571842,57471.77259571842,57471.77259571842,57471.77259571842
191,,57284.987299645414,57715.728028538564,57100.37213402175,56914.57419237566,56273.44997093645,58422.58232306796,57467.668476965846,56787.12149751274,57774.36522057099,55655.42747289551,59058.206605090294,57341.6925006108,58383.48482515853,57788.464292113014,57215.67755671643,57292.95684471932,56804.65073015124,55825.07494390329,56751.51774996521,56633.838182272084,57178.58260682876,58210.43612015847,58105.92832960723,56647.44416384482,57648.27822492714,57391.47374037726,57857.062151004866,58392.99098028574,58731.595671480085,58334.19692612265
192,,57488.03891286617,57704.316185017255,57163.07934282599,56003.38144557668,57098.98493485799,57478.87057753472,57560.65191149415,59018.30749452467,57462.00605716304,56930.62024879115,59557.72850682674,58340.749435599806,57461.17657558428,57506.83921227364,57067.23816947389,55684.85558396014,55999.544274710825,57007.14852055669,55936.01246709457,58330.894793053885,56293.08321535434,57460.689751354796,56724.23677522306,58005.003682693314,58857.14198690118,57673.876666032396,58157.93514632749,57737.92215296137,57290.52711404557,57596.95633610229
193,,55429.96821786809,57749.68439616646,55998.118182048886,55682.651405952514,57994.688886844684,57530.11209894789,57349.3710320212,57029.91464582353,56945.35655149982,55921.10819272329,59005.72467239035,57123.25887220175,57908.34601252138,55867.435300532314,58658.6927624148,56993.665952115414,57586.18286117917,56401.13253687317,56918.13262069566,59138.26553780966,57242.52770730844,57186.62984858098,57181.38694863875,56963.184091979965,58033.33179533181,57122.32947360319,57077.05796101632,58650.493227608975,56567.87951733583,57248.914126317715
194,,56955.34137883174,57978.2858753551,58343.41142176287,56182.60558803589,59138.9283591021,58468.6884093571,58235.884154103485,57492.93734064989,57187.99737497894,57144.94921368448,58924.08555512469,59603.95272799804,58203.531866706115,57977.72974261272,59146.05045540771,59328.49098764986,56988.378326991966,58930.478274609115,57026.15277890952,56827.40129797908,56797.48932796078,57996.302171787254,56662.67633412846,57575.97429710897,57607.882891263034,61799.7763480706,58264.95520198586,58444.511865506385,56037.954101450836,58595.085352516966
195,,56026.710061067846,56706.303094332,56966.652137936,56230.875668316294,59358.95906170187,56319.58885431508,57272.77565871849,56822.435488077695,57908.19405065047,57227.466477682334,57142.277030958416,56983.262506727886,57319.842634480185,59765.65172325235,58231.83611603751,57087.78390802852,58388.32380320346,57587.21262338866,56270.121278667546,57895.70460747126,55982.253151894976,58547.34680904731,56662.943947515305,57371.78239978633,57726.64448451442,56349.12299152807,54430.333222982365,60195.778577658515,58506.39608026505,57311.4665864614
