Index,Lower,Upper,Predicted,Actual
195,84821.05,86807.22,85801.46,84633.0
196,84557.06,87371.35,85922.11,84657.0
197,84269.58,87878.36,86025.1,84681.0
198,83960.74,88337.72,86117.93,84731.0
199,83656.66,88756.64,86203.94,84781.0
200,82938.51,88908.42,86007.27,63911.0
201,82781.35,89066.08,86079.68,63865.0
202,82644.91,89408.2,86196.78,64085.0
203,82427.8,89908.87,86213.61,64136.0
204,82296.1,90246.92,86258.0,62752.0
205,82280.87,90478.91,86319.62,62938.75
206,82204.17,90691.72,86377.23,63125.5
207,81972.74,90885.61,86437.2,63312.25
208,81754.56,91116.01,86491.82,63499.0
209,81672.93,91484.77,86544.12,63506.0
210,81461.26,91605.61,86593.48,63513.0
211,81690.9,91972.0,86640.08,63532.0
212,81306.71,92160.73,86688.02,63526.0
213,81241.61,92517.82,86741.82,62694.0
214,80970.05,92803.46,86776.13,62638.4
215,80539.79,92881.32,86812.01,62582.8
216,80370.2,92988.38,86847.51,62527.2
217,80442.55,93433.84,86882.66,62471.6
218,80221.1,93476.3,86919.51,62416.0
219,80077.45,94054.67,86964.63,62423.5
220,79996.7,94087.08,87007.49,62431.0
221,80030.87,94145.11,87052.1,62438.5
222,80148.55,94535.31,87098.49,62446.0
223,79924.55,94619.91,87142.32,62514.0
224,80045.18,94866.11,87187.95,62582.0
225,79790.07,94900.06,87235.37,62650.0
226,79677.75,94830.63,87280.6,62718.0
227,79627.69,94782.02,87323.8,62722.0
228,79613.6,95190.44,87364.99,62888.0
229,79542.0,95475.54,87410.0,62907.0
230,79315.12,95696.31,87452.83,62926.0
231,79397.31,95858.71,87496.3,62306.67
232,79299.01,95771.23,87537.59,61687.33
233,79218.03,96124.52,87582.72,61068.0
234,79096.82,96259.68,87623.68,60448.67
235,79015.3,96672.91,87668.48,59829.33
236,78948.26,96658.56,87711.11,59210.0
237,78822.86,96253.41,87614.47,59203.0
238,78613.72,96427.64,87659.43,59559.0
239,78683.28,96517.45,87704.63,59583.0
240,78791.49,96837.49,87734.16,63016.0
241,78735.29,96922.89,87776.24,63049.67
242,78676.7,96847.94,87818.17,63083.33
243,78715.61,97181.44,87859.95,63117.0
