Index,Lower,Upper,Predicted,Actual
146,26886.36,26902.44,26896.26,26899.03
147,26887.74,26915.91,26904.12,26910.98
148,26887.97,26928.17,26910.17,26922.92
149,26886.68,26938.99,26915.15,26934.86
150,26883.64,26950.43,26919.6,26946.81
151,26879.54,26959.78,26923.23,26958.75
152,26878.08,26967.37,26926.07,26970.69
153,26875.04,26975.94,26928.86,26982.64
154,26872.52,26985.96,26931.32,26994.58
155,26868.71,26993.78,26933.39,27006.52
156,26869.82,26996.82,26935.38,27018.47
157,26869.4,27003.72,26935.88,27030.41
158,26868.44,27006.91,26938.56,27042.35
159,26865.95,27012.8,26939.3,27054.3
160,26863.22,27018.88,26940.81,27066.24
161,26861.11,27026.53,26943.53,27078.19
162,26860.18,27032.17,26945.32,27090.13
163,26859.68,27038.98,26947.3,27102.07
164,26858.87,27042.24,26947.72,27114.02
165,26856.0,27046.68,26949.16,27125.96
166,26852.52,27052.66,26950.63,27137.9
167,26856.09,27058.36,26951.3,27149.85
168,26852.73,27061.24,26951.55,27161.79
169,26849.43,27068.18,26952.19,27173.73
170,26847.69,27070.81,26952.68,27185.68
171,26843.67,27073.93,26954.87,27197.62
172,26843.28,27078.9,26956.11,27209.56
173,26840.71,27083.09,26958.08,27221.51
174,26836.81,27089.99,26959.48,27233.45
175,26836.62,27090.94,26961.7,27245.4
176,26836.5,27096.91,26963.94,27257.34
177,26835.68,27099.35,26964.2,27269.28
178,26835.05,27105.37,26965.92,27281.23
179,26834.61,27110.28,26967.27,27293.17
180,26831.39,27113.58,26969.91,27305.11
181,26829.71,27119.36,26970.59,27317.06
182,26829.1,27120.32,26972.63,27329.0
