Index,Lower,Upper,Predicted,Actual
58,26077.44,27201.46,26679.15,26671
59,25869.94,27418.35,26681.34,26659
60,25714.92,27647.86,26683.53,26650
61,25536.72,27828.07,26685.71,26650
62,25468.39,27883.32,26687.8,26682
63,25314.1,27991.73,26689.88,26418
64,25176.35,28057.64,26692.26,26268
65,25165.92,28162.97,26694.82,26274
66,25044.44,28348.12,26697.41,26085
67,24900.71,28497.08,26699.66,26214
68,24832.33,28661.9,26701.65,26099
69,24758.29,28615.06,26703.84,26156
70,24664.8,28765.54,26706.02,25848
71,24521.05,28747.33,26708.21,27329
