Index,Lower,Upper
138,55924.16,56289.03
139,55844.38,56371.76
140,55799.97,56434.73
141,55725.85,56464.49
142,55661.65,56483.07
143,55614.84,56510.57
144,55569.01,56513.41
145,55431.71,56466.83
146,55406.08,56498.59
147,55375.1,56531.34
148,55355.43,56548.88
149,55321.3,56607.5
150,55292.55,56615.0
151,55236.76,56628.95
152,55243.65,56657.8
153,55179.38,56655.68
154,55030.77,56512.77
155,55019.21,56551.51
156,55010.04,56577.7
157,54976.57,56578.6
158,54968.82,56586.65
159,54914.08,56588.27
160,54887.96,56632.16
161,54885.25,56664.76
162,54829.81,56685.73
163,54819.03,56702.87
164,54758.55,56717.66
165,54770.72,56708.25
166,54768.98,56699.11
167,54547.4,56538.88
168,54470.38,56513.07
169,54413.07,56498.13
170,54389.96,56510.85
171,54403.65,56522.88
172,54374.44,56531.64
