Index,Lower,Upper,Predicted,Actual
297,109393.08,122157.83,115721.0,115797.0
298,108282.22,123144.18,115723.0,116032.0
299,106879.59,124230.52,115723.0,116332.0
300,106277.94,125196.38,115721.01,116984.33
301,105377.48,126452.76,115722.91,117636.67
302,104548.86,127555.56,115721.0,118289.0
303,103647.93,127926.49,115723.0,118249.5
304,103030.34,128847.68,115722.33,118210.0
305,102594.27,129336.38,115722.95,118245.25
306,102093.45,130207.2,115722.94,118280.5
307,101018.43,130686.25,115721.0,118315.75
308,100211.74,131975.84,115723.0,118351.0
309,100076.25,132093.74,115723.0,118386.25
310,99200.51,132790.86,115722.98,118421.5
311,97880.66,132212.68,115716.71,118456.75
312,97614.44,133413.77,115721.0,118492.0
313,97593.22,134222.54,115723.0,118493.0
314,97679.54,135012.59,115721.28,119169.0
315,96917.48,135445.25,115721.0,119205.0
316,96734.87,135514.93,115723.0,119232.43
317,96328.48,135641.01,115721.11,119259.86
318,96575.98,135987.59,115723.0,119287.29
319,95221.24,137003.64,115721.93,119314.71
320,95585.41,137286.42,115722.81,119342.14
321,94142.2,137390.52,115722.99,119369.57
322,93558.37,138194.89,115721.05,119397.0
323,92852.66,138639.68,115721.0,119610.0
324,92250.43,138771.62,115723.0,117192.5
325,92205.17,139085.97,115723.0,114775.0
326,91554.68,139548.89,115721.01,114810.6
327,91383.58,139740.2,115722.91,114846.2
328,90850.74,141453.49,115721.0,114881.8
329,90570.22,141325.96,115723.0,114917.4
330,89543.96,142245.19,115722.33,114953.0
331,90586.26,141060.61,115722.95,114960.0
332,89529.31,141462.96,115722.94,114342.0
333,89274.44,142329.92,115721.0,114297.0
334,88859.65,142424.39,115723.0,114406.0
335,88532.66,142469.01,115723.0,114515.0
336,88001.42,142029.07,115722.98,114393.33
337,87799.34,143197.98,115716.71,114271.67
338,88085.97,143295.18,115721.0,114150.0
339,87948.88,143302.53,115723.0,115416.67
340,87618.03,143038.7,115721.28,116683.33
341,87257.04,143193.55,115721.0,117950.0
342,88029.48,144059.32,115723.0,119016.8
343,88020.39,144708.27,115721.11,120083.6
344,87043.38,144522.12,115723.0,121150.4
345,87088.19,144430.94,115721.93,122217.2
346,85862.15,145233.75,115722.81,123284.0
347,85400.31,145233.5,115722.99,123264.5
348,85884.57,145604.37,115721.05,123245.0
349,84038.53,146639.12,115721.0,123225.5
350,82735.66,148196.17,115723.0,123206.0
351,83664.12,147832.53,115723.0,123262.8
352,83991.08,147210.71,115721.01,123319.6
353,83408.92,147273.14,115722.91,123376.4
354,84256.43,148168.26,115721.0,123433.2
355,83022.84,147568.82,115723.0,123490.0
356,83184.38,147583.96,115722.33,123546.8
357,82227.83,148705.54,115722.95,123603.6
358,82135.6,148624.1,115722.94,123660.4
359,82305.25,148987.79,115721.0,123717.2
360,81159.96,149800.98,115723.0,123774.0
361,81072.64,150187.77,115723.0,123894.0
362,80171.57,150911.68,115722.98,123058.0
363,79906.94,149812.97,115716.71,124356.0
364,80967.38,149829.21,115721.0,125301.0
365,80038.38,150416.57,115723.0,126246.0
366,79672.88,150793.6,115721.28,126246.0
367,80977.23,150826.15,115721.0,126431.0
368,80127.36,151171.87,115723.0,123023.0
369,80012.63,151358.68,115721.11,119615.0
370,79749.17,151878.23,115723.0,119615.0
