Index,Lower,Upper,Predicted,Actual
91,79152.6,89386.16,84030.86,84760.5
92,78064.78,90249.29,83830.39,85666.0
93,77286.33,91417.34,83941.87,84681.0
94,76357.4,91815.44,83965.25,84781.0
95,75326.28,92576.41,84088.74,63879.0
96,74478.99,93113.01,84023.9,64136.0
97,73880.74,94101.34,84175.28,63817.5
98,73553.85,94581.29,84175.83,63499.0
99,72964.12,95002.47,83630.55,63513.0
100,72048.12,95619.39,83366.76,63526.0
101,72459.59,96338.1,83639.36,63156.0
102,71381.12,97317.48,83683.22,62786.0
103,71476.84,97627.7,84172.77,62416.0
104,70862.69,98182.76,83879.59,62446.0
105,70195.59,98819.37,83922.39,62718.0
106,70126.41,99018.55,84227.3,62888.0
107,69369.66,99152.71,83976.48,62926.0
108,68766.11,99817.15,84031.1,61068.0
109,68645.36,100315.7,84107.95,59210.0
110,67815.86,100534.15,84224.52,59559.0
111,67107.79,100760.8,83778.69,63008.0
112,67240.72,100804.43,83653.95,63062.5
113,66347.53,101313.94,83645.68,63117.0
