Index,Lower,Upper,Predicted,Actual
87,3143.19,4598.75,3889.26,4004.57
88,3116.04,4622.27,3889.66,4004.71
89,3179.04,4609.63,3901.82,4004.86
90,3172.21,4624.35,3911.83,4005.0
91,3199.35,4622.31,3919.2,4929.0
92,3186.23,4762.98,3968.83,4935.96
93,3225.3,4849.27,4032.07,4942.91
94,3217.59,4950.68,4090.59,4949.87
95,3228.43,5030.77,4138.82,4956.83
96,3293.31,5100.06,4186.24,4963.78
97,3283.25,5170.83,4231.14,4970.74
98,3325.49,5213.76,4283.92,4977.7
99,3324.1,5299.41,4330.22,4984.65
100,3382.3,5341.21,4374.74,4991.61
101,3383.17,5420.82,4388.47,4998.57
102,3403.64,5470.71,4430.12,5005.52
103,3513.76,5441.22,4479.55,5012.48
104,3492.35,5493.27,4495.69,5019.43
105,3554.86,5562.55,4538.16,5026.39
106,3558.82,5561.93,4551.23,5033.35
107,3583.01,5560.03,4595.12,5040.3
108,3626.14,5612.0,4619.5,5047.26
