Index,Lower,Upper,Predicted,Actual
68,23360.95,29722.19,26578.04,26913.28
69,23282.65,29954.28,26592.64,26939.26
70,23538.95,29879.56,26635.65,26965.25
71,23456.76,29920.91,26645.91,26991.23
72,23587.54,29767.58,26705.07,27017.21
73,23705.3,29653.54,26713.71,27043.19
74,23674.26,29724.93,26690.95,27069.18
75,23780.13,29648.44,26736.39,27095.16
76,23743.2,29682.79,26762.19,27121.14
77,23786.12,29692.12,26794.44,27147.12
78,24011.93,29746.14,26808.67,27173.11
79,23952.77,29635.99,26808.21,27199.09
80,24065.82,29620.09,26853.82,27225.07
81,24095.72,29610.39,26874.34,27251.05
82,24220.45,29589.85,26896.82,27277.04
83,24224.37,29656.02,26942.16,27303.02
84,24353.52,29732.27,26954.21,27329.0
