Index,Lower,Upper,Predicted,Actual
146,26610.71,27170.86,26890.79,26899.03
147,26606.81,27182.88,26894.84,26910.98
148,26606.87,27191.23,26899.05,26922.92
149,26608.28,27198.34,26903.31,26934.86
150,26610.07,27205.13,26907.6,26946.81
151,26611.84,27211.93,26911.89,26958.75
152,26613.47,27218.89,26916.18,26970.69
153,26614.89,27226.05,26920.47,26982.64
154,26616.09,27233.37,26924.73,26994.58
155,26617.15,27240.73,26928.94,27006.52
156,26618.67,27247.34,26933.01,27018.47
157,26622.57,27253.27,26937.92,27030.41
158,26622.76,27261.74,26942.25,27042.35
159,26622.04,27270.8,26946.42,27054.3
160,26621.13,27279.82,26950.48,27066.24
161,26620.01,27288.73,26954.37,27078.19
162,26618.42,27297.31,26957.86,27090.13
163,26618.24,27307.57,26962.91,27102.07
164,26617.27,27317.79,26967.53,27114.02
165,26616.98,27327.39,26972.18,27125.96
166,26615.58,27337.74,26976.66,27137.9
167,26614.45,27346.86,26980.66,27149.85
168,26615.54,27357.01,26986.28,27161.79
169,26616.41,27363.8,26990.1,27173.73
170,26620.47,27368.28,26994.37,27185.68
171,26631.91,27366.19,26999.05,27197.62
172,26614.91,27390.59,27002.75,27209.56
173,26607.34,27406.28,27006.81,27221.51
174,26603.16,27418.87,27011.02,27233.45
175,26600.2,27430.35,27015.28,27245.4
176,26597.68,27441.45,27019.56,27257.34
177,26595.26,27452.45,27023.85,27269.28
178,26592.83,27463.46,27028.15,27281.23
179,26590.35,27474.52,27032.43,27293.17
180,26587.8,27485.59,27036.7,27305.11
181,26585.24,27496.57,27040.91,27317.06
182,26583.05,27506.89,27044.97,27329.0
