,Actual_last_5_vals,Mean_Simulation,Simulated_10,Simulated_27,Simulated_9,Simulated_24,Simulated_7,Simulated_23,Simulated_8,Simulated_1,Simulated_13,Simulated_3,Simulated_19,Simulated_5,Simulated_15,Simulated_26,Simulated_28,Simulated_4,Simulated_17,Simulated_12,Simulated_16,Simulated_25,Simulated_0,Simulated_22,Simulated_11,Simulated_29,Simulated_6,Simulated_21,Simulated_18,Simulated_2,Simulated_20,Simulated_14
0,57596.857142857145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,57733.142857142855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,57869.42857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,58005.71428571428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,58142.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,53013.1,53013.1,53013.1,53013.1,53013.1,53013.1,53013.1,53013.1,53013.1,53013.1,53013.1,53013.1,53013.1,53013.1,53013.1,53013.1,53013.1,53013.1,53013.1,53013.1,53013.1,53013.1,53013.1,53013.1,53013.1,53013.1,53013.1,53013.1,53013.1,53013.1,53013.1
6,,53396.38,55116.03,48850.35,52763.82,55295.69,65459.7,59574.27,55074.85,62365.08,50710.89,50985.9,46086.05,57481.42,55943.25,51981.34,48794.58,53186.12,52219.29,43671.96,50861.69,48238.33,52663.95,48853.59,51220.82,52179.8,47209.52,56172.16,52543.35,55173.4,54751.26,66462.85
7,,52156.45,51453.28,49965.39,54345.23,53084.53,51471.35,58982.09,57675.75,51709.95,52342.67,45789.7,49660.75,44725.05,50028.98,47115.64,47042.16,55227.81,56165.82,52118.62,48569.82,56125.04,53682.43,56598.5,46396.77,58998.38,49246.64,45295.01,56892.01,54441.13,55821.15,53721.98
8,,51290.27,52215.41,53879.41,52351.69,55476.37,59699.33,56770.28,49949.74,39842.89,45351.59,48802.08,43683.58,47998.51,47982.79,51936.57,52982.76,62881.43,44671.42,50201.24,55002.91,54949.24,43995.32,43087.96,44131.94,51629.01,42138.45,54500.74,59075.78,50620.96,61657.96,61240.66
9,,53687.05,49868.56,57612.8,56253.67,50275.45,60887.08,58702.18,53613.44,55745.62,59875.46,53345.0,47731.86,58984.34,58592.0,49453.03,61392.13,50579.49,51792.48,49065.11,55656.83,49186.25,46362.73,54230.0,50510.31,52191.54,48301.01,52952.03,48127.13,54162.19,54473.59,60688.18
10,,52407.36,65150.07,50169.01,46673.55,52926.21,48716.42,57501.62,48012.82,56399.55,57638.13,55865.72,48018.22,54064.73,50898.42,53850.5,48049.95,49367.19,49153.2,53957.39,59358.89,56358.8,46950.72,48002.26,57516.98,45110.25,46923.01,61285.38,59606.14,45847.73,56451.3,42396.61
11,,53851.83,56742.4,55968.71,56088.54,51658.87,51928.11,54707.41,47372.92,51456.91,57071.18,55842.87,53015.65,53558.22,53061.07,56375.63,59205.47,47631.28,62037.45,41132.14,51276.65,55742.34,61771.29,48623.74,53289.46,44626.12,52512.4,53626.66,59678.21,51056.44,55051.98,63444.89
12,,53587.8,56572.82,54027.11,58176.74,48500.11,56724.15,50981.2,47717.28,53203.73,60617.28,50241.43,49615.58,57832.09,47458.23,63268.7,54620.33,58530.3,50357.5,55125.44,50637.48,50730.13,49040.01,49540.74,47884.48,56962.64,63161.71,43225.87,48010.59,59740.99,59807.08,55322.36
13,,52097.33,61661.95,56373.42,49768.08,52460.38,53599.86,48261.92,50062.68,58495.01,35687.51,53749.76,47961.92,53028.89,55196.96,53917.7,50872.51,52432.52,47663.91,51117.59,60042.92,53620.71,55343.07,49675.74,52000.1,46919.4,52778.58,42069.31,54839.29,53019.34,50347.39,59951.56
