,Actual_last_5_vals,Simulated_0,Simulated_1,Simulated_2,Simulated_3,Simulated_4,Simulated_5,Simulated_6,Simulated_7,Simulated_8,Simulated_9,Simulated_10,Simulated_11,Simulated_12,Simulated_13,Simulated_14,Simulated_15,Simulated_16,Simulated_17,Simulated_18,Simulated_19,Simulated_20,Simulated_21,Simulated_22,Simulated_23,Simulated_24,Simulated_25,Simulated_26,Simulated_27,Simulated_28,Simulated_29
422,57596.857142857145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,57733.142857142855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,57869.42857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,58005.71428571428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,58142.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,,51426.08859681811,51426.08859681811,51426.08859681811,51426.08859681811,51426.08859681811,51426.08859681811,51426.08859681811,51426.08859681811,51426.08859681811,51426.08859681811,51426.08859681811,51426.08859681811,51426.08859681811,51426.08859681811,51426.08859681811,51426.08859681811,51426.08859681811,51426.08859681811,51426.08859681811,51426.08859681811,51426.08859681811,51426.08859681811,51426.08859681811,51426.08859681811,51426.08859681811,51426.08859681811,51426.08859681811,51426.08859681811,51426.08859681811,51426.08859681811
428,,52217.64251419237,56141.605790410875,65997.16423662429,51792.41312855008,57050.57847663944,53786.1828754679,54650.282405898164,49358.77317801426,48157.49534298405,61376.58722768653,46736.21842322113,44299.952906482475,56861.020298062795,42545.75941985557,53374.73832020079,54749.448310634936,53882.57110260512,49401.824111193986,48979.536300873064,49495.20411034051,61014.86250219874,52666.95421643617,56537.12117249268,43158.11980092243,51725.3424468724,57017.84766560288,49948.48019351183,57044.13940828158,47309.76243896522,48184.27285596291
429,,59495.082830770036,47117.02606991763,58585.86119522393,58035.716222766656,60423.331826254755,62031.31048734295,56241.656518237185,59616.96986656921,54781.89736587678,55615.31426678339,45223.54074788343,46593.923726808454,60960.04681666387,55965.23555461478,39698.04077222275,48028.8258310321,46583.47572210467,60200.9847204046,67166.44444895082,56140.589880143976,45284.37976908416,55240.07250193795,51745.859732939134,49153.35329925406,52208.29550211459,47523.70630556341,57537.1702352111,41065.66638152718,49916.30289787057,46933.965418020955
430,,46444.11311438419,50749.79447115236,50600.76217504803,50954.826644528366,56183.13066862132,52342.574696414245,54484.35849397316,41911.06633195812,48723.88993941214,49343.316831247794,49317.67060218241,60659.7791442867,46585.112794551635,56541.86768370879,42984.02143018192,48640.4738418903,49127.00309713303,44289.661225567645,49348.955796885886,54404.42173928587,45853.3282956187,43583.57778290495,42330.797425044686,47130.32220354962,40859.78480829431,57851.78281027048,55106.74781588662,59460.26591381338,57336.33748684786,56644.90403260239
431,,49626.89151975961,64342.696906663434,54027.163474819215,62593.25420336384,42251.93033439377,45178.873043802116,47225.603281105694,62700.07086706799,57106.59615239943,49969.50891937018,57603.09930412893,58568.83309683097,56662.67044294077,34169.523782737066,57853.53701961328,53767.54026434042,54377.21683246743,41594.89464594425,46285.41878108938,40223.46022296269,37852.62675025678,50425.13987150836,46947.40394306931,60494.344192715704,40004.72275421553,39748.609414808096,48141.946718406856,46513.12721200446,49403.09313399006,43665.3740235392
432,,47566.19305577263,47278.650472908936,48021.280643388294,50141.84237276748,54289.576789839004,52067.008642024215,43725.083034466574,42670.14059940303,39980.65806363692,49844.46030951408,55513.02505911206,64503.67823992818,49630.104259090454,58925.350233582736,51537.03401965862,50267.751436850034,54190.45969672475,52560.58987563272,51197.51284662205,61185.90345426911,49046.18858854371,52096.41320510533,50054.76216712438,60227.449914965466,56358.43185755468,57823.14635927393,44815.32647166043,44140.24879278252,42023.40994807209,44339.596065568825
433,,48310.050635764,52014.62971704468,55155.96945220967,57661.82606238089,57727.1700837712,41568.988239796396,57880.99034413378,44132.95404432493,62094.88854198388,40214.825934379434,57699.719892773384,54691.31744501498,42388.68653962757,49603.85670963314,55909.649417967805,57111.6622586461,42878.14189987477,37966.78938697012,46944.60545435276,48011.835380662145,31870.37960741033,50218.786614955185,67087.99893760635,61274.56349340347,54008.447464151126,58773.06227324423,52166.844338528455,57772.242243634464,47270.33244748967,55710.3767455338
