,Actual_last_5_vals,Simulated_0,Simulated_1,Simulated_2,Simulated_3,Simulated_4,Simulated_5,Simulated_6,Simulated_7,Simulated_8,Simulated_9,Simulated_10,Simulated_11,Simulated_12,Simulated_13,Simulated_14,Simulated_15,Simulated_16,Simulated_17,Simulated_18,Simulated_19,Simulated_20,Simulated_21,Simulated_22,Simulated_23,Simulated_24,Simulated_25,Simulated_26,Simulated_27,Simulated_28,Simulated_29
135,5600.777777777777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,5581.333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,5561.888888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,5542.444444444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,5523.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,,5220.819317721879,5220.819317721879,5220.819317721879,5220.819317721879,5220.819317721879,5220.819317721879,5220.819317721879,5220.819317721879,5220.819317721879,5220.819317721879,5220.819317721879,5220.819317721879,5220.819317721879,5220.819317721879,5220.819317721879,5220.819317721879,5220.819317721879,5220.819317721879,5220.819317721879,5220.819317721879,5220.819317721879,5220.819317721879,5220.819317721879,5220.819317721879,5220.819317721879,5220.819317721879,5220.819317721879,5220.819317721879,5220.819317721879,5220.819317721879
141,,5169.795212659955,4804.759775201448,5348.330089775181,5282.037340031313,5381.948026952811,5174.028607430206,5254.70617004796,5367.947272824048,4672.59070495898,5104.361565858391,5063.333589904607,5192.201384320004,4896.035625512731,4969.813895939621,5168.751911813444,4903.9982733461375,5288.46233202171,4791.67128792491,5365.561098267703,5073.624480100874,4868.471328177193,5157.20822750068,5342.411099173346,5286.799268860022,5168.216535983276,5060.782341661681,5135.059934572455,4941.537868958145,4575.990759224751,5187.318468055088
142,,5349.546419213268,5517.092147996856,5401.865562594637,5373.810252244676,5322.6742219551525,5267.574488447783,5247.246617874548,5102.475216280052,4990.979185543159,5469.833088415168,5365.313221043229,5059.399382848833,5335.094986026791,4758.652220301771,5179.348814760563,4941.770648362555,5211.276006273295,4871.637941852846,5581.066490566198,5391.126231972331,5356.689597733093,5200.904995767904,5040.92547038768,5673.617415133593,4869.080694282998,5173.758982849189,5346.458840397984,4959.486976177299,4857.0518028652,4877.313702332393
143,,5244.347659993572,5381.399465152694,5004.560993030247,5327.080943529804,5270.713887828964,5054.956037094161,5022.195638495919,5026.130043102629,5128.89683553461,5157.358755486498,5080.909915866451,4997.864546501101,5421.424469322315,4988.7353683951205,4990.958364349475,5503.413551445569,5300.174220087475,5363.133498932352,5138.206159926342,4846.797597325079,5426.1073489236915,4788.646703937043,4990.169266458124,5448.379998854967,5318.8249755326915,5229.90836424847,5266.605342241872,5270.265527381892,5491.767245301255,5010.023226008753
144,,5509.748113890043,5056.334084145198,5164.409841824982,5628.454223536891,4907.555865664893,5349.812716509003,5092.459242233178,5174.716538021041,5075.047485708913,5206.962212680692,4917.546108315231,5562.584428298753,4836.925378832963,4610.529046384255,5275.806287149894,4929.12342250676,5263.929108806973,5255.3676666839265,5039.91261697968,4654.987334996089,5264.30408477014,5005.642086612403,5203.995778419098,5537.556929482085,5646.874462184863,5166.208653949423,5029.9693296892165,5294.12096834736,5108.396678296185,5258.174791680717
145,,5565.5346038969965,4883.444627057726,4801.866933747847,5200.645243026861,5170.233885780782,5261.799398441763,4751.936786036866,5191.271935643117,4974.867543285439,5661.07297893119,5170.7927285820415,5300.42829980926,4791.6853722592095,4994.7405697484255,5236.363099579253,5054.753821902645,4658.3398329945,5438.033703691903,5351.8411385150275,5334.8999062396515,5627.755856456076,5323.011714404171,5192.759265959509,5144.357991840226,5370.527676792833,5240.757077962355,5593.071192115356,5090.418858948185,5369.746460931551,5185.655959591824
146,,5402.126245106838,4599.719661041503,4994.334060452305,5512.356085464832,5348.281174853975,4788.5202137146225,5143.4140072236705,5038.866802100293,5209.221027637768,5170.480017969637,4994.518718974161,5333.867302000057,5006.809624800029,4952.569187973498,5312.2245517688925,5200.642128760004,5796.897126951202,5499.632592422978,5040.668067477517,4800.164753170178,5037.634356746538,5305.381106458143,5258.491483314482,4534.330801707756,5076.16626949097,5672.875032915599,5218.145001608662,5346.214799693833,5786.787108248912,5560.3553402449625
147,,5352.365746102499,5178.949359923188,5095.800975675141,5416.083891595674,5196.596488606096,5364.906324823024,4792.295672575078,4799.1155160914805,5231.286361914692,5520.107866817101,5284.653121690416,4781.954977369314,5203.861027050488,5044.92549165622,4850.525327316165,5289.098345199754,4922.274283676418,4889.753484370056,5471.459408760931,4795.402085730393,5401.396467749731,5624.07162934602,5218.644001796452,4528.047761693753,5460.375913139617,5315.121229332225,5176.034542003892,5341.727397065967,5106.535114140187,5627.419909659187
148,,5025.565926074601,5165.552557673631,5078.844900585239,5325.661905643503,5170.4559497814935,5387.970669587339,5027.70011479485,4755.047836026125,5280.408777289076,5420.56250481135,5410.833928864912,5079.662764603298,5314.244196432782,4572.72516182294,5096.669415632914,4802.681310901607,5362.803607640369,5054.902634883783,5309.743571989532,5065.187555514434,5370.356670512232,5306.218738190136,5195.855359638277,5050.986395567563,4975.573983989554,5486.916588125134,5267.264282293069,5174.907246223613,5573.123896981965,5171.654292621246
149,,5397.991700742222,4867.99186025983,4694.690133868359,5176.149324303533,4994.847447057076,5002.938915290315,4839.265059851,4618.605550478705,4724.1103174642485,5494.438040038109,5042.689688254212,5010.225164486766,4647.854237806589,4890.717711411715,4859.624388330305,5225.773977046555,5540.029549095411,5147.201050654331,5126.28222828401,5587.247966167718,5413.4188676999,5169.846469105107,5460.923212670655,4985.523474155391,5221.513462941907,4902.043535361417,5411.063816005647,4686.839161147712,5630.898953876055,4604.885884347413
150,,5145.549015942007,4994.900037337158,4990.4049332122395,5378.427101612176,5039.4344746605875,5102.926174275074,4774.778538457353,5241.6153780143195,5410.3567247526325,5267.895208629212,5224.5923627625425,4846.616478247239,4800.269955238414,4663.2088445665095,5320.861791192744,5317.798743296628,5219.79055224393,5319.978543088727,5033.615145473409,5120.694663468945,5209.865488367582,5546.229544085446,5259.7088361028445,4496.960942842074,5386.652311081901,5319.784921702152,5202.853230336208,5422.415102045353,5067.309883438036,5308.61301080299
151,,5283.314002406571,5005.7570034369755,5134.016848546525,5365.871116326196,5266.231013756934,5283.591379565793,4744.984685634203,4978.973765509049,5183.352545428389,5301.479225752518,5399.915738413735,4841.195929649909,4749.104860976368,5162.507494229395,4791.35852465238,4805.931759169367,4960.663450838676,5157.78290488068,5130.448715191261,5616.513174918595,5562.143553932109,5213.570937062676,5056.845901422159,4956.610768756001,5343.187986676701,5138.280315795851,5168.652714612176,4684.351719651462,4895.629490742672,5173.219635319109
