,Actual_last_5_vals,Simulated_0,Simulated_1,Simulated_2,Simulated_3,Simulated_4,Simulated_5,Simulated_6,Simulated_7,Simulated_8,Simulated_9,Simulated_10,Simulated_11,Simulated_12,Simulated_13,Simulated_14,Simulated_15,Simulated_16,Simulated_17,Simulated_18,Simulated_19,Simulated_20,Simulated_21,Simulated_22,Simulated_23,Simulated_24,Simulated_25,Simulated_26,Simulated_27,Simulated_28,Simulated_29
363,16985.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,17177.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,17286.333333333332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,17395.666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,17505.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,,6705.460004091998,6705.460004091998,6705.460004091998,6705.460004091998,6705.460004091998,6705.460004091998,6705.460004091998,6705.460004091998,6705.460004091998,6705.460004091998,6705.460004091998,6705.460004091998,6705.460004091998,6705.460004091998,6705.460004091998,6705.460004091998,6705.460004091998,6705.460004091998,6705.460004091998,6705.460004091998,6705.460004091998,6705.460004091998,6705.460004091998,6705.460004091998,6705.460004091998,6705.460004091998,6705.460004091998,6705.460004091998,6705.460004091998,6705.460004091998
369,,8983.287501155759,885.5207796077405,12088.699850211819,8268.557017778054,24855.534680193447,7623.8814495071,15181.794406011988,6940.430318134701,10240.94298302053,23590.805472408156,11054.093706287851,22265.407869599152,7628.617575112532,11970.418600151419,5575.18007515541,15933.458486204356,2926.74405856331,8630.6498000973,6233.050770680685,-2390.529567256263,4364.9579212508925,-15321.197402834914,7499.618307678625,15400.257088538463,12571.00698214734,606.5794129267955,20905.477580380226,-10630.083421639643,16500.93802270233,16966.13373822698
370,,26166.950727572785,-7832.212814865813,9550.375593411234,-9451.548615867554,18301.21391745977,2792.8561872980035,2807.3437498405488,14579.64848655451,17361.733288600357,-16494.746147736907,13752.036160963711,-8205.005464782347,-3237.8589163885176,3863.286878174106,18384.44877150765,9396.396014029935,13317.562201623561,19135.267605102777,-7171.118763030521,11358.476688171007,29826.29372140514,6911.656941235111,12479.958108250452,11552.845903046269,27269.802880085113,3267.969706275507,11276.045776676234,15256.720574532283,5627.517649416881,5545.878520329009
371,,7549.548724300757,11872.769436480015,20222.83197227257,-3180.5574463677467,-3606.227979874927,18901.970356839694,18030.219955621094,-1391.5991670933977,12910.743230907668,22570.72037036942,1382.475894030716,17878.530125803496,-9791.351654672057,12344.132979652366,-8658.289446547427,21367.56542235083,1464.4493787826768,-14897.129199684055,13258.545236477676,133.9742774739252,5784.599743045878,6730.188010692038,-3884.306599520504,32255.612084200668,27394.787455173904,8039.924759572252,14925.8717767633,17031.53228656675,4424.679389683859,8486.951350087307
372,,5478.805082371227,629.8610317013945,19002.997362648683,-6289.481727548679,14591.812850937813,22532.03876948761,19651.773324691592,12502.131719602741,27948.446426011174,12314.753211553472,-636.051996079358,9124.879055442896,3345.2400440536207,18991.36374219048,696.7128462461367,11019.470734056948,663.4397053785956,14970.425835579148,8531.447776690711,8474.760470340534,-6286.725010596696,5107.94315717137,10027.280193778117,21946.03940633797,39100.800523598395,-2295.9458025611166,34731.99730519979,-4940.021644072109,13403.30022466867,-1833.7587638624323
373,,-14736.9574936867,8152.701392499486,6722.692369599046,10637.316250927423,19958.80158828764,19644.65272881444,20996.087103946327,-13435.179414387085,11971.468710800504,11426.265807211757,-9276.400660611622,3501.3869808803497,19968.05981802665,8041.910820144737,2203.480072205759,9215.694279647492,9831.257516278638,1660.1550437586855,7655.593939420921,14374.482958927594,-5744.781385394186,24261.789276341045,1185.7592957876504,-3405.2491305773965,-3061.119967358826,8342.19389200488,2202.2912617815064,18014.16106727674,5599.913584464408,18153.210140624706
