,Actual_last_5_vals,Mean_Simulation,Simulated_11,Simulated_2,Simulated_17,Simulated_8,Simulated_21,Simulated_7,Simulated_10,Simulated_28,Simulated_12,Simulated_29,Simulated_26,Simulated_0,Simulated_25,Simulated_24,Simulated_22,Simulated_18,Simulated_6,Simulated_15,Simulated_5,Simulated_14,Simulated_23,Simulated_27,Simulated_1,Simulated_20,Simulated_9,Simulated_3,Simulated_19,Simulated_16,Simulated_13,Simulated_4
0,26053.066666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,26024.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,25995.033333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,25966.016666666663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,25937.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,25209.08,25209.08,25209.08,25209.08,25209.08,25209.08,25209.08,25209.08,25209.08,25209.08,25209.08,25209.08,25209.08,25209.08,25209.08,25209.08,25209.08,25209.08,25209.08,25209.08,25209.08,25209.08,25209.08,25209.08,25209.08,25209.08,25209.08,25209.08,25209.08,25209.08,25209.08
6,,14930.77,24875.3,28165.16,-16887.63,-4063.04,-38183.93,-81719.6,-43323.43,19768.99,-101989.07,-4559.8,57917.74,53902.96,-11660.16,116013.01,9732.87,104699.43,-45621.55,79600.43,93541.3,58970.23,14570.37,-117180.51,78479.59,57667.1,65030.0,-33402.48,117328.24,112213.7,-86455.19,-59507.01
7,,22174.1,11308.07,-37715.09,12038.4,42977.46,104786.05,43574.19,-18065.56,-14676.45,-24229.58,90036.01,104765.14,-51513.24,116252.73,76094.58,46220.3,30776.23,33494.26,74085.02,28078.51,-43180.22,32307.33,-12288.77,-99055.39,-90060.5,42181.54,-29007.51,-6005.38,88972.52,16926.35,96146.06
8,,27395.85,38432.63,47876.71,36450.04,25982.91,27176.88,-3676.66,-19904.88,-11990.86,132291.81,70465.13,-28965.23,83607.73,16056.41,-2545.52,-110404.57,98474.52,95839.91,155182.17,20154.2,-11602.62,-79919.86,72000.23,-80257.27,-28350.42,129347.26,58473.95,68745.86,6613.07,-119392.33,135714.44
9,,33517.83,93908.53,-53769.01,98029.01,-40824.27,17299.2,-21894.96,2865.21,128841.23,-5959.79,-3204.84,-43714.7,1187.69,-22771.12,95440.81,89308.61,-86255.72,-98634.39,83339.89,-8253.16,17386.32,113284.52,87733.16,-23901.64,96898.51,40912.94,-20272.99,211355.43,-70753.64,70609.31,257344.82
10,,8168.48,-5692.77,-1509.8,-49059.87,109470.89,30356.55,5352.52,3045.48,8238.64,4987.38,-42523.83,42254.78,35482.46,-83368.55,30306.31,19365.8,11972.57,-38274.84,37862.9,-121321.06,121330.95,-80228.84,30665.15,11859.49,-10851.02,30181.85,125719.5,39278.57,-33988.33,-12535.6,26677.12
11,,16509.4,-35614.96,60603.59,62150.95,-53241.92,26654.27,45760.79,228.54,2506.36,51795.73,87163.04,39486.78,-1971.13,15837.79,12502.93,-24531.02,25438.51,-50651.12,1113.48,113870.02,-67108.37,49830.36,-47407.78,-73500.45,20715.97,103603.1,87249.84,-6362.68,-48217.66,-74015.6,171392.77
12,,13963.03,12294.63,28427.41,56148.58,31903.23,68846.86,81532.2,36614.65,65451.61,38136.5,56438.33,-30984.61,-79352.13,-27657.55,59986.37,74242.3,-93195.8,49475.96,127595.36,-38767.48,24958.45,-42783.37,-47801.63,20886.68,-59831.47,-27285.36,48159.96,9828.78,49178.5,-39404.75,-34151.3
13,,24577.63,-4068.82,7387.61,71336.28,17224.76,106256.72,12988.95,131344.97,-38447.24,2666.51,131757.12,37637.24,68265.25,11918.4,145.73,44696.09,18893.17,-436.31,-2089.73,-42070.06,55853.61,-6776.74,29539.27,-19795.95,80999.45,21802.47,18671.43,-24424.86,-153721.33,98963.56,60811.24
14,,4997.0,77181.88,-8797.84,-33624.73,-104196.52,11869.73,78933.1,-61214.25,76164.7,-22664.02,8514.32,-61082.81,-16793.3,-57915.53,12036.3,87123.7,-48559.21,39435.21,-29318.15,-40829.9,41407.23,-44650.8,-33431.58,-53187.54,20563.89,-115371.09,137996.68,-34324.53,144697.12,126300.39,53647.43
15,,29713.78,57561.07,-34900.15,27891.61,16313.43,-61533.1,19516.69,91120.0,94024.08,11251.53,7863.32,48399.75,26848.93,41626.28,-63929.77,-9847.23,-12613.37,77428.96,3525.25,17702.74,38597.4,-73735.39,138533.91,39108.68,198855.79,-98260.65,75092.48,186732.41,18007.23,-96755.75,106987.41
16,,25580.96,21573.58,63919.72,108075.38,39340.82,-5005.84,-28709.17,20479.94,702.15,55907.34,19594.13,38577.82,91045.77,-72631.83,97562.19,68248.26,63283.55,58348.62,3361.0,-6236.34,-103271.85,-1694.69,52169.64,-9927.91,44854.62,-36918.27,78272.49,-23128.75,30630.9,19140.07,79865.44
17,MAE,,24381.5,31922.14,35855.99,37354.39,37480.54,37848.69,38332.38,38778.53,39058.23,39124.98,39333.77,39509.9,42318.68,43010.89,43318.82,45698.79,46793.38,46858.55,47450.93,48143.5,48980.64,49364.28,49828.11,52626.9,53618.8,53654.02,58494.44,63832.54,65309.16,76541.98
