,Actual_last_5_vals,Mean_Simulation,Simulated_27,Simulated_5,Simulated_29,Simulated_28,Simulated_11,Simulated_9,Simulated_25,Simulated_17,Simulated_21,Simulated_16,Simulated_12,Simulated_7,Simulated_6,Simulated_18,Simulated_8,Simulated_1,Simulated_20,Simulated_3,Simulated_14,Simulated_10,Simulated_0,Simulated_22,Simulated_13,Simulated_23,Simulated_15,Simulated_24,Simulated_2,Simulated_4,Simulated_26,Simulated_19
0,75578.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77148.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,77176.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,78669.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,81155.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,78802.36,78802.36,78802.36,78802.36,78802.36,78802.36,78802.36,78802.36,78802.36,78802.36,78802.36,78802.36,78802.36,78802.36,78802.36,78802.36,78802.36,78802.36,78802.36,78802.36,78802.36,78802.36,78802.36,78802.36,78802.36,78802.36,78802.36,78802.36,78802.36,78802.36,78802.36
6,,78251.04,77541.19,75260.13,79026.7,77903.5,81911.32,78516.92,73293.71,78654.57,82475.2,73313.05,74582.55,75471.95,82210.12,72015.91,79349.86,83807.3,80301.35,74361.52,86738.16,71514.05,81413.73,76206.27,74388.0,80144.76,78050.04,84387.06,80271.67,80274.98,75881.74,78263.74
7,,79468.08,80223.6,80603.19,79441.74,79035.38,80625.97,81425.92,79375.22,80799.06,80423.44,76967.76,75282.01,80615.82,86176.94,85324.12,75101.26,79961.79,80575.55,67720.23,78481.11,78753.84,78477.93,80432.62,79287.09,71913.16,82880.59,80101.38,82795.19,74171.08,85794.14,81275.35
8,,79615.17,80265.07,77108.1,83625.95,75595.41,77214.53,88563.54,74244.46,69634.2,78568.11,77121.73,69308.82,83343.21,87041.75,84195.87,86191.72,82015.75,94949.95,74357.08,78740.78,71824.0,86471.48,75316.35,79813.59,75144.15,87559.55,75425.53,87321.02,70517.65,66308.5,90667.14
9,,76609.9,76115.42,70624.25,90780.64,78293.22,78955.3,69878.66,72235.18,79539.56,73644.92,73129.76,77105.28,70559.81,78417.21,73085.49,81518.59,70822.46,78974.91,73920.08,79499.65,70318.14,84863.76,78260.64,71860.01,75150.12,78918.68,65628.51,84915.09,77779.48,79264.45,84237.88
10,,78315.18,72524.24,81443.03,82507.55,74217.84,73402.78,78669.29,80140.28,77375.89,79330.1,79299.38,80042.48,76634.88,78978.74,77078.47,77785.92,81997.59,77718.2,74591.16,76806.59,77300.07,87580.64,74309.28,72389.87,81769.48,86742.53,76194.97,74800.37,80482.32,74902.07,82439.33
11,,77887.34,86919.94,83862.1,78565.63,81743.49,79815.72,72103.32,74489.58,71718.85,77309.08,79759.44,81413.96,74276.98,80828.77,82277.05,73770.69,78077.4,71675.18,73306.86,73579.63,66670.96,79086.21,65315.58,80633.15,86705.79,91012.1,75225.62,71850.15,81121.78,80128.08,83377.23
12,,78272.88,77867.37,77903.43,74606.72,77001.63,71751.71,83671.86,75847.04,73122.36,85100.63,73052.56,75603.05,71736.61,72119.93,82156.56,83543.69,71033.24,84449.77,80704.3,81026.71,79902.23,74921.95,76200.68,81979.92,76863.33,83882.75,73707.82,85288.4,76303.29,80104.64,86732.21
13,,77836.49,77593.23,81903.48,76242.65,79659.35,84871.49,75919.14,64001.19,73342.84,73216.91,80139.68,75367.87,71485.74,75732.7,80445.26,76300.34,76425.41,73697.34,77099.89,84181.01,84727.37,86147.35,68010.75,89471.28,81972.27,75380.34,79469.13,78406.56,80725.24,69556.37,83602.42
14,,77073.22,77199.02,73778.81,80732.54,67983.2,75899.2,76904.75,76716.83,73476.15,79266.1,69358.56,79994.07,70003.17,72299.12,81279.65,86616.35,76660.37,76077.18,82684.44,81384.54,79101.45,76603.01,70217.11,86037.78,69511.49,75013.64,90299.38,85179.66,66976.61,76130.53,78811.94
15,,79557.37,72946.7,79126.11,79775.52,83454.01,79568.9,80921.57,78533.55,76510.01,85419.06,75900.66,72313.52,79081.72,84525.15,78835.13,81707.41,86259.19,81071.99,84159.62,86683.58,78411.6,81052.25,76921.05,82177.72,74841.14,82331.06,75079.48,80422.03,66382.07,90547.94,71761.34
16,,78920.8,77500.85,80088.04,79001.75,81866.16,74673.12,81497.52,79941.8,80558.97,69204.15,73343.43,80640.73,75406.59,77108.93,85378.61,83307.3,89709.73,83785.16,79614.69,72215.62,77318.4,74680.07,78237.13,75377.06,83122.7,81483.98,79572.45,74533.67,76458.24,80813.27,81183.88
17,MAE,,2186.54,2587.56,2756.05,2788.58,2949.53,2955.6,3223.4,3306.64,3333.61,3395.04,3411.11,3578.55,3609.78,3641.8,3706.95,3722.06,3779.81,3830.43,3857.97,3921.86,3966.25,3967.55,4011.16,4139.78,4240.1,4272.97,4321.22,4465.2,4520.67,4678.09
