,Actual_last_5_vals,Mean_Simulation,Simulated_12,Simulated_24,Simulated_0,Simulated_23,Simulated_26,Simulated_19,Simulated_17,Simulated_21,Simulated_1,Simulated_10,Simulated_27,Simulated_25,Simulated_15,Simulated_4,Simulated_11,Simulated_29,Simulated_5,Simulated_18,Simulated_6,Simulated_13,Simulated_20,Simulated_9,Simulated_16,Simulated_28,Simulated_2,Simulated_22,Simulated_7,Simulated_8,Simulated_14,Simulated_3
0,76147.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,76510.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,75578.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,77231.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,81133.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,83331.16,83331.16,83331.16,83331.16,83331.16,83331.16,83331.16,83331.16,83331.16,83331.16,83331.16,83331.16,83331.16,83331.16,83331.16,83331.16,83331.16,83331.16,83331.16,83331.16,83331.16,83331.16,83331.16,83331.16,83331.16,83331.16,83331.16,83331.16,83331.16,83331.16,83331.16
6,,83385.57,83855.74,84043.74,84065.68,84101.7,86418.24,82418.12,85160.85,81212.92,82898.44,82869.33,85060.25,81681.44,82747.71,83887.07,80233.53,77423.1,83889.91,93203.84,84435.19,80911.04,81880.27,79447.93,75062.97,92249.25,90520.77,82473.45,91153.56,81764.77,84317.66,72178.57
7,,83702.41,83447.03,86570.3,85422.96,81433.29,83319.39,84788.99,87114.33,81400.4,82191.54,86715.61,80240.18,83552.35,87416.34,84538.27,90833.47,78944.66,76628.17,83834.09,82131.85,83022.99,76840.48,79509.01,85291.85,87079.08,85850.99,85101.96,80280.12,87146.22,79235.65,91190.61
8,,84653.2,85548.24,79425.71,84607.53,81893.42,83097.69,87381.15,84253.31,80381.28,81968.02,88767.8,88279.48,80616.79,87763.79,84586.27,88524.46,90288.98,83729.06,80532.0,88028.34,81247.77,80088.38,90275.9,79746.07,92655.84,90243.42,85482.55,79004.42,95540.28,78426.46,77211.71
9,,83170.41,80700.33,82464.81,89132.57,85011.55,77251.55,86141.54,84543.48,86211.39,75997.21,81922.93,80986.45,74008.85,81670.31,91346.38,86267.11,84116.49,82036.72,84485.77,75414.29,88960.93,81739.39,87559.59,77007.72,86555.6,84613.95,89897.07,91263.33,89123.62,72127.73,76553.78
10,,84721.38,83192.62,84991.2,82192.91,80651.44,85991.74,80173.16,90897.48,83348.56,82127.55,78470.42,79728.91,83707.04,92275.73,92846.74,85784.54,85811.77,75699.51,88171.51,90068.5,77956.18,79487.35,80554.89,86623.03,84180.05,95254.14,101928.82,80631.38,92386.69,77597.73,78909.71
11,MAE,,936.57,1621.49,1822.83,1942.69,2026.74,2050.22,2189.38,2193.4,2408.37,2523.75,2656.6,2677.75,2752.8,2950.94,3052.37,3065.41,3109.71,3139.44,3183.09,3185.85,3266.18,3718.24,3813.92,4028.25,4475.05,4512.52,4837.0,4928.37,4965.32,6427.5
