,Actual_last_5_vals,Mean_Simulation,Simulated_20,Simulated_22,Simulated_10,Simulated_2,Simulated_18,Simulated_24,Simulated_21,Simulated_9,Simulated_6,Simulated_3,Simulated_11,Simulated_17,Simulated_15,Simulated_14,Simulated_28,Simulated_5,Simulated_13,Simulated_25,Simulated_1,Simulated_26,Simulated_23,Simulated_0,Simulated_29,Simulated_8,Simulated_19,Simulated_7,Simulated_4,Simulated_12,Simulated_27,Simulated_16
0,108851.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,110243.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,110861.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,121632.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,117762.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,113017.97,113017.97,113017.97,113017.97,113017.97,113017.97,113017.97,113017.97,113017.97,113017.97,113017.97,113017.97,113017.97,113017.97,113017.97,113017.97,113017.97,113017.97,113017.97,113017.97,113017.97,113017.97,113017.97,113017.97,113017.97,113017.97,113017.97,113017.97,113017.97,113017.97,113017.97
6,,113082.17,106428.27,118352.85,119229.67,109873.57,110576.19,124811.84,122831.18,101124.6,111787.47,114291.5,122534.58,114931.44,104867.73,121085.62,104831.57,104405.86,119328.85,102214.8,121839.22,113152.05,103988.7,112184.04,125113.62,122616.92,119409.34,106043.62,114194.98,113478.8,104543.8,102392.48
7,,112367.4,105860.81,115961.39,124010.35,118500.52,112202.59,130598.81,117765.22,97310.74,114391.81,117322.14,134627.85,111965.25,105878.28,119948.97,102904.0,98889.68,126602.15,93225.28,125355.9,93129.61,83366.48,111122.37,136086.19,121610.27,127150.68,102640.6,111842.46,123606.96,99902.73,87241.92
8,,112291.51,110948.07,111806.87,113556.83,117240.25,124191.77,114201.2,119375.63,98535.13,123199.93,116200.57,130041.57,114516.82,101959.34,108338.06,109726.55,105275.73,136787.62,104246.58,118259.99,78265.04,80313.72,114757.17,126504.27,133075.19,127191.72,98174.39,111903.92,137325.75,93146.33,89679.41
9,,112352.42,111982.41,100382.02,104481.27,111052.75,127081.02,115912.16,123252.81,93715.23,124924.28,125484.59,124877.29,123659.45,93684.55,94317.62,116663.4,115545.53,143904.33,109121.82,120736.44,75698.82,85326.66,123834.81,122072.09,137096.25,132259.95,93187.88,112805.7,141917.45,79606.37,85987.57
10,,111381.32,108488.07,92442.17,102216.38,120176.2,124128.0,113018.17,119914.39,98293.79,121489.73,123730.64,124734.88,133000.82,93691.1,90222.96,110814.09,106147.0,141969.11,108942.09,116526.87,82042.93,87818.1,135493.52,122882.56,132756.06,136797.0,86129.92,109283.71,141054.71,69534.42,87700.12
11,,111206.65,106604.57,98562.85,108662.85,126186.05,119183.95,106096.48,111285.79,93093.72,122606.25,120689.97,126511.28,133455.73,97142.1,96589.01,101939.84,100696.94,138622.6,118257.22,114019.87,76852.51,94797.11,140256.57,133653.96,142736.97,143690.01,75799.22,97519.63,143708.28,68113.39,78864.8
12,,111593.5,110407.01,101671.87,116793.68,123230.93,118621.62,102661.39,114011.68,102711.74,118356.8,108405.95,128639.63,122929.58,97180.94,92771.67,103066.98,97175.47,135713.37,134378.69,123985.41,77706.74,90724.45,137094.81,139820.56,146727.55,157956.64,82331.27,91375.69,148501.81,56432.81,66418.25
13,,109809.39,112641.5,101648.02,115208.82,122722.08,109072.87,88465.82,120430.8,104581.8,117472.91,104720.02,129219.5,116099.88,93540.58,92232.19,94853.95,88189.34,133117.77,139639.31,134564.33,76684.42,88904.8,140676.72,139653.96,149268.38,157183.26,85440.33,83582.21,140772.29,51958.33,61735.62
14,,109859.5,109053.7,103628.57,113735.57,112164.49,101594.44,82402.85,129193.67,113348.16,125590.23,106437.95,126588.47,122745.75,88687.83,92855.5,87423.52,85746.05,132085.01,135555.78,148121.97,82665.86,94212.64,146049.8,143912.46,139166.39,155123.19,85175.03,80329.35,136811.88,59730.58,55648.24
15,,110610.43,105560.45,113402.84,114757.8,113527.52,104218.16,87140.73,132423.54,123685.83,131927.91,91051.1,128584.99,118506.41,94442.43,88161.63,85545.56,70610.52,131423.3,137089.8,147112.88,79108.98,101290.16,146986.66,146094.45,141030.53,168078.3,78845.18,80278.06,145576.18,59027.84,52823.09
16,,110325.45,109357.12,110197.97,122338.49,119375.52,116123.69,94844.37,136663.06,121838.01,132592.32,74640.82,122339.52,113756.88,100795.52,95164.42,77186.19,62646.47,136036.55,140442.28,146222.95,73761.75,108586.52,147472.68,139880.0,140942.02,158180.24,78403.4,77120.35,154562.17,51573.45,46718.83
17,,111531.35,107901.33,103923.38,132004.96,125809.26,118186.33,103469.25,136995.04,115418.79,133317.34,77651.25,111209.95,111514.6,110799.98,104625.46,79217.11,64648.08,154065.4,137372.36,151799.18,70090.29,114180.05,148788.53,136094.21,135769.99,165497.02,76183.83,70743.92,165142.89,36859.41,46661.39
18,,111489.27,109491.12,102817.6,133430.32,129709.35,114764.19,110800.7,122160.37,105366.53,125015.81,82754.96,118390.24,98448.26,106668.52,103140.1,83482.87,72827.19,156649.81,134445.08,151262.87,65224.54,120382.78,144942.98,135413.34,145086.27,165186.09,70670.87,66969.81,174324.91,46201.78,48648.74
19,,110568.38,108889.39,99763.59,131334.51,133716.56,109518.12,102815.86,113659.02,97698.24,118293.9,92035.71,125501.56,95395.04,101208.49,89931.14,84009.27,77408.69,141142.74,135570.51,146972.52,69735.68,128853.18,147399.99,136136.01,150899.0,171884.37,57836.6,63146.76,178149.31,61248.52,46896.99
20,,110108.98,109291.8,97816.88,127852.07,128730.34,116530.65,99327.01,107836.58,98254.06,126189.06,100791.51,123850.02,95645.68,80890.74,85440.79,82402.8,84891.05,132042.3,141262.89,149913.2,82332.16,134619.39,148622.3,130987.85,159344.05,166666.88,64716.54,53169.49,178207.61,57154.81,38488.88
21,,108997.94,108353.76,97552.69,113406.06,117766.86,126534.11,99833.11,112881.43,100990.86,132399.56,107587.91,133182.62,91899.67,77143.68,84184.34,81418.45,82011.13,132673.3,142314.66,149092.7,77261.95,140975.81,146305.76,130244.62,161146.53,166981.91,70485.59,35481.67,173148.98,47236.18,29442.35
22,,108441.6,108492.65,102953.61,109920.6,111545.58,133359.96,106422.82,115839.18,102168.56,125066.01,118267.53,132984.0,85848.04,73062.44,80536.53,85529.24,85188.53,137979.92,137279.08,145158.07,77986.1,156231.72,149901.55,135236.07,160833.19,156199.82,54131.75,20741.29,175197.93,42806.25,26379.97
