,Actual_last_5_vals,Mean_Simulation,Simulated_25,Simulated_11,Simulated_15,Simulated_22,Simulated_18,Simulated_2,Simulated_10,Simulated_12,Simulated_13,Simulated_29,Simulated_6,Simulated_16,Simulated_24,Simulated_17,Simulated_7,Simulated_4,Simulated_28,Simulated_21,Simulated_14,Simulated_19,Simulated_27,Simulated_20,Simulated_23,Simulated_3,Simulated_1,Simulated_0,Simulated_8,Simulated_9,Simulated_26,Simulated_5
0,108851.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,110243.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,110861.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,121632.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,117762.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,119878.97,119878.97,119878.97,119878.97,119878.97,119878.97,119878.97,119878.97,119878.97,119878.97,119878.97,119878.97,119878.97,119878.97,119878.97,119878.97,119878.97,119878.97,119878.97,119878.97,119878.97,119878.97,119878.97,119878.97,119878.97,119878.97,119878.97,119878.97,119878.97,119878.97,119878.97
6,,119122.39,128189.04,141605.02,127154.06,107360.36,115856.18,106801.29,117581.5,123287.49,113481.74,150260.91,95578.17,137423.54,130255.19,112688.24,106319.1,148604.88,73473.67,89699.5,105086.21,141897.12,168499.26,54322.82,93118.34,162193.34,160771.21,108211.65,87276.92,94359.9,91928.47,180386.47
7,,120966.42,118136.71,110439.79,85414.45,101945.83,120614.82,131711.1,96067.12,110517.88,129643.68,120420.61,135807.07,119485.36,109394.24,136875.6,99017.73,130922.32,128665.25,176812.82,86110.2,66942.99,154841.8,98712.2,81348.97,148067.96,107123.34,129868.67,156718.5,97359.75,149829.02,190176.73
8,,112269.71,118540.18,97349.8,116649.61,100535.37,157264.69,163250.51,125279.27,146565.56,91763.83,158686.43,72039.62,114666.38,55949.44,87283.89,74449.23,159352.98,60079.72,126025.01,148638.64,94366.06,132008.4,84168.3,71057.83,116731.15,150118.91,155619.24,89817.94,81774.88,145202.97,72855.53
9,,120527.9,111296.6,113783.35,124143.36,122889.13,138901.07,110103.63,146744.25,150991.0,139719.19,108142.96,99587.15,184892.42,140090.46,62532.13,91975.4,140631.35,105802.63,108462.0,104421.18,129061.3,129518.58,131331.81,94212.44,83114.73,111644.46,164601.95,86884.33,91323.96,161770.58,127263.61
10,,111370.4,99736.87,109423.03,129251.36,86770.44,103043.29,110780.56,82816.16,127382.32,157524.71,121593.22,110175.97,132129.9,122217.85,102411.17,125839.12,98641.22,112296.86,126188.77,82335.94,138775.15,91079.78,103527.71,113713.32,71273.78,161477.33,158311.8,62911.6,46933.88,162555.18,89993.76
11,MAE,,6505.28,9436.85,11576.66,11579.69,12552.18,14176.78,15703.39,15897.42,16694.9,16784.8,16791.69,17883.82,18239.21,19047.36,19265.61,19892.38,20198.21,20984.81,21733.75,21773.33,22045.37,22300.3,22581.96,25357.29,25388.58,25696.33,28691.95,28750.74,30236.21,33000.15
