,Actual_last_5_vals,Simulated_0,Simulated_1,Simulated_2,Simulated_3,Simulated_4,Simulated_5,Simulated_6,Simulated_7,Simulated_8,Simulated_9,Simulated_10,Simulated_11,Simulated_12,Simulated_13,Simulated_14,Simulated_15,Simulated_16,Simulated_17,Simulated_18,Simulated_19,Simulated_20,Simulated_21,Simulated_22,Simulated_23,Simulated_24,Simulated_25,Simulated_26,Simulated_27,Simulated_28,Simulated_29
60,87576.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,89830.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,115264.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,110234.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,116422.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,115903.67916932405,115903.67916932405,115903.67916932405,115903.67916932405,115903.67916932405,115903.67916932405,115903.67916932405,115903.67916932405,115903.67916932405,115903.67916932405,115903.67916932405,115903.67916932405,115903.67916932405,115903.67916932405,115903.67916932405,115903.67916932405,115903.67916932405,115903.67916932405,115903.67916932405,115903.67916932405,115903.67916932405,115903.67916932405,115903.67916932405,115903.67916932405,115903.67916932405,115903.67916932405,115903.67916932405,115903.67916932405,115903.67916932405,115903.67916932405
66,,130924.99096509333,97881.56562312786,101185.05503556941,102261.31145726524,133424.27301349232,82457.44115924109,113574.67328116733,103710.0345635451,138035.71808606535,103579.73520532141,103981.62261739816,141681.4548259017,127170.96654537653,108038.9073484912,80913.21259917453,139113.79429165446,109948.54177168533,156956.07816852193,134695.48104535163,121932.70270683584,109267.52949683143,154488.96735061542,122146.64685425167,111930.2777147308,116229.86640982638,135825.66421968886,117724.51041381482,124023.59568910133,110862.89106182444,138205.94503896998
67,,96244.0402564211,136112.05674013132,104059.21386094559,98575.52065595928,104475.17455823111,141984.9832502755,127842.32155640001,126864.01872642434,120538.18876026559,113568.4125421118,133291.1913083008,109599.94169703737,102729.03191872497,105168.93519131125,46285.0117307076,98444.83375182454,110990.75505497621,95223.84393013932,105591.21644204702,114503.7598490677,102857.41135223143,140108.57756141396,133773.62188663884,105257.18752429493,129835.66676277536,106176.76557694853,96218.91127443066,104993.8944335581,113598.24600913364,103539.21481216703
68,,121328.50394166756,136332.10561566066,145933.6932779302,146833.6075362846,82225.80348577372,125242.48359861027,143535.21320469247,140876.84829489922,89506.10552560215,70005.13975531867,156532.2306470949,132450.40907916983,113893.0071323735,99541.53884550599,65296.07654900975,119319.43702124126,116346.56695798162,104745.68465033075,105536.97817460574,136469.9546019285,116097.13027847603,122549.92246606489,152580.90349534358,147916.3010491786,79802.69660918694,124148.4782992702,128029.52376011272,152535.33030881383,133060.17472176935,147352.83475361162
69,,122642.60718674438,88042.16997344392,120165.62919852615,99768.81646125237,132749.33864321528,121181.56579053965,173600.9726169875,115608.98053840648,113525.06517176628,150035.02013878207,178432.24299301353,127037.1713872338,102501.35000643643,141315.75240476496,28904.804381326772,142643.77532775115,106255.19172297975,128628.82437470653,125537.17962659564,108969.41811625952,95347.99982510901,136872.96116755216,116278.90932705419,111472.04094624092,116145.56786837157,92401.85582071384,132494.87941093597,123860.78549832955,94347.87775700659,110077.80112440647
70,,118222.4697674449,81826.76899342652,110658.0760297695,99444.92100896926,133211.964781997,138584.97379167998,164030.48609142526,129468.51940358295,105648.79846368803,103597.93356073125,135137.97358671617,150171.42562784685,112967.37781283952,158957.79277996894,96642.28616760152,134568.3358951066,106759.49596486699,111959.87619657288,116850.20212623537,95459.8108342225,128679.33044786677,91186.33660878429,142686.06950061463,141403.12763441575,147794.15257445248,102779.69731850446,138897.49127109826,128292.34632351689,116341.99116868958,100908.11637144964
71,,138395.46191078625,90755.1693897817,129338.24654119046,47976.48745640723,148184.77275434945,127640.9558734908,172066.60278172002,113714.69680300762,150646.0649245244,102273.68187414842,99426.57685581187,146065.66129297003,127070.04767468722,140286.85586288988,53088.35419309827,95693.37248734027,123770.51038457864,114322.44849665166,137200.3740699985,114070.24499329846,97258.98709408338,107570.25041030586,147286.16409584167,135071.82372427906,133806.24213831848,102389.33632767125,119531.5033623411,128169.62099974634,123111.04426916139,121347.10320087538
72,,140666.8606935838,88242.82896605614,105044.23154540994,83946.51994601949,134197.01420455732,102996.70173023285,137144.7301576571,123566.82586012044,118876.5534363117,105099.28613416107,93593.98181157319,170928.9085607625,98082.47798774936,129684.71511227787,67872.55585242169,143286.7724770553,78526.59074400336,154626.74007135033,102087.02178602907,106061.17596895932,137708.6804178979,62631.95901347445,141337.4441221804,122200.2572163887,120291.25953718263,94112.95917518734,131074.5364193142,128396.02590417417,144927.7959034131,96360.27990080089
73,,72986.7844822481,90144.28954746384,124346.43569524605,61775.294229993626,152550.03231517388,109471.69345387635,162725.8004728062,183593.37296255326,113546.07652451767,151131.44274017683,107352.89652240906,112882.82927350012,82031.65776839264,171838.0218483242,62677.36258061975,104496.03323875199,76585.07508081585,129677.33272528274,107596.109402068,137079.97214448007,92938.60120071858,107061.43804536,143722.12087963318,153839.278487037,177471.04423512245,94748.79262216916,127674.5697428526,137196.9802796112,105518.7509764955,125752.56917310234
74,,124316.81891101165,44267.30416228512,108089.7406792297,55956.27687179958,159453.98785561716,115845.60592252611,141018.9674626502,167061.2554976388,113535.84046509601,99515.35346436147,81937.20062304258,153988.4370024928,90350.33558192039,191790.44723345686,10435.321314652483,139121.02265570415,42692.29629257905,132376.2029428152,189464.53586782757,157102.0392566156,98363.5697264167,123067.44431626724,138814.05609502332,126543.84173923405,133522.11884939505,55282.91084369104,126079.57043311883,179129.4268405462,99240.44254995555,87723.84976836226
75,,121795.5523530022,95842.86620986402,108028.58003473285,29319.487682613657,164960.34974252895,75767.02415836714,127833.6744982195,136407.40742295855,142877.97937284128,163208.20212832617,85948.28746589147,161631.6452604832,127460.35890564311,195186.12331016036,25279.343098441437,115659.05087620244,53988.80137489196,95854.37676192424,112432.05966719496,146760.0504705999,96901.81020824739,100206.9929783579,178905.26754483566,162911.1727712952,138354.17757723693,58220.94672205309,146132.37190000206,170238.10728738047,106400.0376447318,84600.64360853989
76,,159814.1637769412,95887.2649272054,106145.39241019981,95413.16787458723,134842.66620047085,90841.80654488663,184534.98766742198,157766.47242379448,131816.2827269823,115617.73963030032,63983.665049054085,184455.1865859683,87397.67012262938,196465.6195399694,39740.949321610955,105129.37806536711,54400.76546059408,95102.14927158631,146594.31243520256,145924.0484483,101891.54542725967,117618.49715328476,220508.06939635798,128028.44361282788,163505.4464795798,92425.66411627493,137128.11939000248,156084.99602488943,158765.76816674712,96595.39908549888
