,Actual_last_5_vals,Mean_Simulation,Simulated_10,Simulated_12,Simulated_1,Simulated_25,Simulated_24,Simulated_3,Simulated_5,Simulated_8,Simulated_22,Simulated_28,Simulated_13,Simulated_6,Simulated_27,Simulated_18,Simulated_29,Simulated_23,Simulated_21,Simulated_2,Simulated_15,Simulated_17,Simulated_16,Simulated_0,Simulated_14,Simulated_4,Simulated_7,Simulated_26,Simulated_19,Simulated_20,Simulated_11,Simulated_9
0,53360.55555555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,53362.66666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,53364.77777777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,53366.88888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,53369.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,53030.15,53030.15,53030.15,53030.15,53030.15,53030.15,53030.15,53030.15,53030.15,53030.15,53030.15,53030.15,53030.15,53030.15,53030.15,53030.15,53030.15,53030.15,53030.15,53030.15,53030.15,53030.15,53030.15,53030.15,53030.15,53030.15,53030.15,53030.15,53030.15,53030.15,53030.15
6,,53243.85,54713.07,56414.1,55042.33,51221.71,52894.46,53636.55,49269.95,56983.8,51129.24,52293.09,51093.79,51353.94,52478.58,52486.3,56153.09,52182.6,55569.35,54138.25,54360.17,48521.02,50638.44,48978.16,53591.14,56486.53,52355.03,55839.19,45974.98,60122.27,56657.13,54737.3
7,,52736.87,51344.61,53447.11,53269.26,54511.86,52047.75,49718.99,54670.82,55610.64,55849.48,53361.71,54838.8,48711.31,53709.48,51639.09,51897.0,51814.22,55307.43,55491.34,48948.53,48153.13,53555.7,50976.76,52438.91,53551.13,53667.34,57568.42,53941.48,59333.0,46176.41,46554.34
8,,53504.18,53393.31,54313.19,57257.8,52467.12,51776.28,54385.02,53313.34,56504.93,53068.73,55819.42,56360.9,48852.16,51242.74,51425.25,48123.02,54035.88,51624.56,50010.21,53540.81,54533.0,54574.91,47507.66,53043.85,55438.35,54731.42,59433.89,54023.27,58277.03,53430.82,52616.46
9,,53448.77,51503.32,53620.94,52076.71,56397.2,51220.9,55367.95,51858.23,53682.86,51119.03,51421.34,52759.2,52930.05,46671.18,56076.01,54222.45,57654.13,53022.59,54467.45,56422.5,54847.91,52420.41,51161.93,50631.74,52871.65,54230.79,54167.63,55452.71,53243.03,57012.5,54928.85
10,,52603.66,53878.24,51417.98,53454.1,54935.99,53978.56,52224.47,53478.6,55029.52,57694.66,56916.02,49994.43,52482.83,53833.7,55955.81,52618.65,53538.0,52417.34,50036.14,51942.6,51998.86,51560.22,49220.47,53804.94,49030.09,55855.81,47784.32,51580.99,54456.69,49772.62,47217.15
11,,53388.41,53547.48,57000.17,53748.66,53711.59,54936.69,50965.6,53245.72,52595.41,53518.95,50475.43,56975.02,52568.57,53526.24,52390.58,55638.28,47747.19,47339.12,46930.69,54059.01,56382.8,56455.03,52283.42,51224.14,52397.17,57491.81,52580.61,60949.92,55910.21,48777.79,56279.04
12,,52939.54,51284.49,54469.11,54665.72,54760.83,53822.69,55452.34,48627.21,53539.93,48275.77,51799.75,55221.55,56499.29,55686.64,49857.12,50962.19,54625.68,50862.18,54240.05,54805.35,54821.32,54778.65,53082.34,46135.3,47039.57,50722.85,52430.51,55967.73,54840.71,51665.11,57244.24
13,,53296.87,52383.23,55983.53,51991.6,54950.12,48185.53,53795.3,52372.56,50769.82,52859.94,55394.94,54681.56,51757.74,51252.15,48689.49,53106.11,54946.61,56479.92,54568.56,54235.02,50680.25,58561.48,54489.6,46530.37,55694.71,52127.81,52658.93,57456.88,57305.33,57348.19,47648.93
14,,53526.17,52339.33,52449.86,55173.59,53911.13,51746.82,54733.14,52177.34,53449.65,53452.06,51703.66,52718.17,52342.82,55360.88,51233.92,48284.46,59877.38,53123.06,52431.81,59368.86,54582.93,56493.56,56516.13,55150.81,52109.58,47498.27,49818.54,54930.9,57316.23,55430.35,50059.85
15,,52299.81,50918.62,51601.04,55021.91,49865.47,52881.79,56411.8,49616.24,51246.66,53591.35,50558.0,49819.44,51050.28,51872.73,53596.28,51294.44,52140.04,57465.57,54047.76,49057.24,52874.83,56642.68,53998.39,50031.87,51269.5,55764.84,54868.7,55237.25,51749.72,49517.35,44982.62
16,,52935.44,52647.87,52375.13,50742.43,51294.4,50674.18,54762.2,55722.88,56383.17,54681.27,51412.47,53742.51,49651.61,49063.08,51512.85,49670.43,53683.48,52896.28,50801.4,57000.91,56873.73,55131.56,54446.09,51155.44,48163.51,59433.18,48513.5,52192.05,50979.71,59210.15,53245.74
17,MAE,,981.31,1350.89,1521.77,1531.08,1544.54,1597.46,1730.28,1731.02,1785.51,1789.06,1813.02,1903.54,1922.56,1967.72,1987.42,1990.95,2025.49,2061.28,2100.11,2116.85,2186.96,2194.34,2210.96,2220.81,2546.71,2629.0,2654.54,2919.46,3111.63,3280.61
