,Actual_last_5_vals,Mean_Simulation,Simulated_22,Simulated_2,Simulated_10,Simulated_14,Simulated_6,Simulated_16,Simulated_25,Simulated_7,Simulated_8,Simulated_26,Simulated_29,Simulated_28,Simulated_5,Simulated_27,Simulated_13,Simulated_23,Simulated_12,Simulated_9,Simulated_18,Simulated_3,Simulated_0,Simulated_21,Simulated_20,Simulated_24,Simulated_15,Simulated_19,Simulated_17,Simulated_11,Simulated_1,Simulated_4
0,30189.266666666663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,30268.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,30348.13333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30427.566666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,30507.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,29783.96,29783.96,29783.96,29783.96,29783.96,29783.96,29783.96,29783.96,29783.96,29783.96,29783.96,29783.96,29783.96,29783.96,29783.96,29783.96,29783.96,29783.96,29783.96,29783.96,29783.96,29783.96,29783.96,29783.96,29783.96,29783.96,29783.96,29783.96,29783.96,29783.96,29783.96
6,,29725.55,30155.05,28269.68,29187.19,27228.27,30319.04,31158.71,31986.26,28960.22,30809.04,28000.57,26821.07,29698.41,29741.22,32627.59,27956.12,30296.71,28461.15,30882.46,30893.46,26360.79,25810.53,33637.67,30314.2,33959.76,24837.99,33907.66,27750.73,33321.0,31806.52,26607.3
7,,30319.01,30128.23,30315.13,31383.97,30247.63,28962.48,30371.86,29439.31,29116.52,31410.23,29045.99,31975.53,29013.25,33554.5,28880.5,32147.34,30684.59,32732.48,28220.43,32629.9,29010.31,31560.07,30366.7,27999.13,27804.9,31030.49,33807.25,31427.02,31647.62,27294.08,27362.91
8,,29665.96,31139.66,30192.05,30346.1,27468.72,31087.79,27334.18,31030.53,26132.96,30444.48,30573.98,31543.22,28515.03,27585.53,30655.66,31143.63,24886.49,27316.21,27499.3,31057.51,30679.73,29553.82,31104.25,28478.71,28788.9,32357.29,29440.03,27806.37,27078.97,37343.88,31393.78
9,,29532.01,28595.22,29092.57,28709.41,29847.31,30340.61,29997.35,27791.88,30343.3,27955.15,27802.96,30087.78,25632.88,30186.91,32164.4,31299.99,32238.39,28724.13,26607.2,27218.01,30371.86,31499.14,27084.86,24511.86,28586.62,29324.81,29309.19,35827.07,30687.87,28435.35,35686.36
10,,29816.35,29996.08,28891.65,28652.89,30309.96,32122.07,32094.69,30408.62,30356.13,27030.33,27903.24,30492.66,28330.75,31802.17,30061.92,31422.13,29570.81,31972.93,30536.39,31706.49,32547.98,27785.98,28252.17,30473.83,28478.67,27694.56,26880.84,29919.63,26563.85,28135.9,34095.32
11,MAE,,535.08,558.33,711.59,929.13,1081.03,1093.58,1139.56,1141.98,1219.35,1258.03,1278.39,1311.43,1328.72,1368.04,1408.2,1444.69,1498.68,1511.17,1512.42,1543.12,1544.29,1568.24,1628.9,1651.41,1769.89,1842.44,1890.13,1986.57,2593.49,3039.25
