,Actual_last_5_vals,Simulated_0,Simulated_1,Simulated_2,Simulated_3,Simulated_4,Simulated_5,Simulated_6,Simulated_7,Simulated_8,Simulated_9,Simulated_10,Simulated_11,Simulated_12,Simulated_13,Simulated_14,Simulated_15,Simulated_16,Simulated_17,Simulated_18,Simulated_19,Simulated_20,Simulated_21,Simulated_22,Simulated_23,Simulated_24,Simulated_25,Simulated_26,Simulated_27,Simulated_28,Simulated_29
389,53360.55555555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,53362.66666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,53364.77777777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,53366.88888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,53369.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,,53845.7753947388,53845.7753947388,53845.7753947388,53845.7753947388,53845.7753947388,53845.7753947388,53845.7753947388,53845.7753947388,53845.7753947388,53845.7753947388,53845.7753947388,53845.7753947388,53845.7753947388,53845.7753947388,53845.7753947388,53845.7753947388,53845.7753947388,53845.7753947388,53845.7753947388,53845.7753947388,53845.7753947388,53845.7753947388,53845.7753947388,53845.7753947388,53845.7753947388,53845.7753947388,53845.7753947388,53845.7753947388,53845.7753947388,53845.7753947388
395,,50969.635778653326,54946.9240914706,54006.677236604584,55866.85211565456,53418.61158946793,52901.08113841075,55596.26567492584,53233.77170313838,52999.63613636334,55312.50494310577,57382.87616645405,58127.071275812064,55071.64006967717,52636.26613723308,51673.022938446564,54910.174922292535,54634.95457136324,54801.51138331778,52903.15371800877,57625.444222710415,57788.52300576288,58154.13113076279,52630.27380465375,54191.1867694977,54427.34687328475,56159.070744512406,56219.49749095441,53342.77879954475,54706.116269473,55716.072558586
396,,51919.59144381687,55001.72852245617,53966.157083051825,53394.851382114386,56167.68531559461,53315.951076640195,53064.77274833841,55770.0997328312,54282.99945907363,54378.34683339496,55844.90425089887,54359.15975750226,54812.776345193386,52400.86975315259,52761.550220621466,54543.37551887669,52757.064019842524,53619.962068088884,57811.116120093604,53285.72381101331,49753.01230099577,54766.108482372496,55230.47062828215,55402.05961028015,58968.392615155986,53085.93659032343,53328.03305051953,50220.6046650865,55911.45075982701,53669.81838999374
397,,53097.18852860141,55862.628214447606,54485.72286831795,55759.92236772227,53890.440019535425,56720.79349017861,51075.98496909917,54181.082019604415,50794.74531924248,52470.4458030499,55226.90960498007,50534.41273777045,53808.49242226492,54830.54167618041,54305.34506858384,51966.46207274788,54843.15762863741,54093.64457996851,52888.13701021109,53690.89331717503,53331.22846952661,54453.62254908915,51250.59956121085,56904.42117037017,54626.34132801175,52928.61770846904,50184.77259725065,54253.38580782609,54152.52824366947,52494.164133789534
398,,49610.76252969538,54826.30780327546,54711.41523928211,53798.1746046788,51093.45743042706,52405.93738395894,56936.19818366879,53871.28109003556,54837.27867419682,53562.90218869716,54825.01057003493,53541.488210969095,54087.62915632738,55840.28186926428,56835.69254423762,55888.19823490423,51346.69799935094,53149.42905719232,55308.80792202292,54035.576115380034,55868.938069333795,51721.298445144406,55356.251122654656,54124.47643121995,56396.83345398255,52385.59571254419,51774.73394643681,54206.51686615636,53452.56678866514,51770.24237618028
399,,52965.28739802298,52386.00022037081,50308.930566626535,48732.441298037906,54805.428374958276,55950.39391278788,56465.94255687901,54026.094012749956,54428.06534495536,56461.05632622199,53140.19485109649,54718.1699230722,51034.69331280259,54648.27484366446,54622.14672695389,55328.48185267473,53162.41292071134,54521.667545498305,54798.46095890873,51190.88398481336,53658.95316078223,53194.727685682585,54808.00924847599,53102.5100487394,56644.42207685239,51288.15863335939,50906.85763164288,55284.17142859796,53327.67191371602,54901.33033949385
