,Actual_last_5_vals,Simulated_0,Simulated_1,Simulated_2,Simulated_3,Simulated_4,Simulated_5,Simulated_6,Simulated_7,Simulated_8,Simulated_9,Simulated_10,Simulated_11,Simulated_12,Simulated_13,Simulated_14,Simulated_15,Simulated_16,Simulated_17,Simulated_18,Simulated_19,Simulated_20,Simulated_21,Simulated_22,Simulated_23,Simulated_24,Simulated_25,Simulated_26,Simulated_27,Simulated_28,Simulated_29
90,278217.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,280192.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,280438.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,282044.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,280482.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,259017.33506762644,259017.33506762644,259017.33506762644,259017.33506762644,259017.33506762644,259017.33506762644,259017.33506762644,259017.33506762644,259017.33506762644,259017.33506762644,259017.33506762644,259017.33506762644,259017.33506762644,259017.33506762644,259017.33506762644,259017.33506762644,259017.33506762644,259017.33506762644,259017.33506762644,259017.33506762644,259017.33506762644,259017.33506762644,259017.33506762644,259017.33506762644,259017.33506762644,259017.33506762644,259017.33506762644,259017.33506762644,259017.33506762644,259017.33506762644
96,,268897.4769796346,334808.7965804834,242127.632867896,297479.9580913263,242585.26729186153,198461.71252536948,191557.86078460855,311912.0054502391,235269.33964062395,245747.9171815875,350310.5482320757,213464.59925308148,307885.8978803255,292178.9210841441,287361.442995106,279687.0117022581,231235.76548978605,268333.6917726808,323851.19010698027,284600.4272107755,274372.3320491869,267322.08880674513,260829.02945385163,282179.1875066913,146019.78826270023,213057.33523366397,280368.56486040785,321451.2895515734,264118.2299223866,322369.48245418194
97,,212963.20040802477,325944.51632533077,277062.3681132437,248749.6302029344,200573.92477453683,273283.4500946661,304703.56105173315,283569.2966703099,216508.96823854907,326106.9913806406,304792.99959947536,329335.82240098034,338467.5956411486,314598.29300225666,263780.3187984021,259464.05930042107,261090.64418649743,304082.0788750392,222175.87037540076,214298.49571277504,306053.5767376961,277319.24412752956,189393.00841249336,270681.7120501014,226556.77778622758,270913.5920631303,302020.07362289185,249619.0339255684,252077.05403623567,212709.39465175965
98,,258789.30066893724,236844.5562727554,283505.39582036174,260411.27536223092,267761.18323640036,268524.55857625906,266988.07475138525,313246.74842545093,198892.26467675943,204596.58111222828,232951.75195431107,298661.92800572596,232497.0666101673,273130.269907685,223369.02106052768,240594.40536952796,315346.5057764453,345685.40512807237,275799.1712237798,296266.69360862125,315147.63078604086,336164.2740474735,340041.0353975225,298871.10617717926,222740.74002682138,248516.78477496968,268589.58127235866,236934.06595506688,316242.0111695191,229027.77444739692
99,,162481.8723882948,179024.46618843,290728.0013526091,299611.2707198763,298814.33180808043,224004.80908437193,267557.4218984434,265317.0634670239,203021.09094070748,223743.01749729525,216334.64357215294,183256.3440232901,267439.8668835111,277805.2266132884,267348.5291336127,189621.44814259527,247394.84593600532,245181.73212556823,214871.1232924078,250166.3493129555,207993.98861819398,238034.0566708119,290435.61968986475,251173.49209594823,260724.53356001075,226119.11848782658,304934.9929280222,200999.38136939117,254283.82436749406,276526.12528938864
100,,268102.13080421166,273591.4473637103,267573.48874426703,216950.14864658445,293070.787038808,198349.19911552587,232443.71787319134,301116.6137364485,304465.3986014874,272142.84788108995,259657.84167386507,274561.3417950792,246105.15263161433,334032.4813487509,283836.64910101873,261306.53839321353,300349.61526803917,258220.80646289518,269299.8408348206,261449.93159320886,278699.3930793181,205270.558063473,221327.19334743958,275812.8542666362,294382.522416895,239912.4879552136,306430.28816450824,239850.993572322,265036.7917670835,192432.6719906975
