,Actual_last_5_vals,Mean_Simulation,Simulated_26,Simulated_9,Simulated_5,Simulated_29,Simulated_6,Simulated_14,Simulated_4,Simulated_10,Simulated_11,Simulated_13,Simulated_21,Simulated_7,Simulated_3,Simulated_12,Simulated_25,Simulated_1,Simulated_18,Simulated_17,Simulated_15,Simulated_16,Simulated_19,Simulated_22,Simulated_2,Simulated_27,Simulated_24,Simulated_28,Simulated_20,Simulated_8,Simulated_23,Simulated_0
0,17359.285714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,17360.714285714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,17362.14285714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,17363.571428571428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,17365.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,14887.63,14887.63,14887.63,14887.63,14887.63,14887.63,14887.63,14887.63,14887.63,14887.63,14887.63,14887.63,14887.63,14887.63,14887.63,14887.63,14887.63,14887.63,14887.63,14887.63,14887.63,14887.63,14887.63,14887.63,14887.63,14887.63,14887.63,14887.63,14887.63,14887.63,14887.63
6,,14769.71,14280.27,14275.39,14810.87,14842.1,15928.64,13071.75,14382.55,14744.35,14546.9,14440.21,14681.02,14555.32,13923.34,15469.56,15276.82,14613.16,16486.14,15135.76,13731.17,12280.5,17104.36,15939.67,13311.65,13479.96,12606.49,16191.01,16379.4,13114.78,15854.55,17633.63
7,,15034.7,15192.16,15684.19,14030.54,13379.89,14360.15,15473.02,14220.22,16066.32,16460.96,16387.22,17134.25,15800.65,13904.12,13557.17,15833.77,12574.86,15244.55,13592.96,13914.54,14543.25,14648.54,13347.22,12820.56,12635.75,15415.4,18036.87,16843.42,15498.52,18576.18,15863.82
8,,14623.97,14257.53,15203.22,14469.67,14748.0,15192.12,14061.36,14003.67,15243.34,15274.9,15402.26,13143.84,13843.21,15535.38,16311.48,14220.0,14798.19,15121.47,14024.18,13072.52,14977.65,15119.5,15075.63,14940.92,13027.75,13651.34,15424.03,12492.79,16233.42,13496.53,16353.21
9,,14946.91,14152.52,15083.39,15218.44,15066.53,14412.2,15129.23,13255.22,15991.64,15796.03,15384.28,15010.74,16599.69,15526.14,15080.55,16840.51,15768.58,13579.83,15680.34,14734.67,14977.07,13953.83,14739.7,15235.73,14461.37,16773.32,13626.19,12411.82,12215.39,12862.91,18839.42
10,,14818.24,14857.56,14451.52,13942.48,14292.74,15000.05,14134.12,15035.72,13729.5,15582.97,13794.65,15012.01,15426.09,15647.77,15139.69,13957.21,13936.19,13903.93,13180.19,13938.77,16428.38,15747.32,16541.17,16555.86,15227.67,13386.05,13431.95,14066.18,18009.94,12600.39,17589.02
11,MAE,,307.84,371.04,391.15,416.06,519.69,594.22,621.85,634.97,652.31,653.55,654.33,670.29,716.19,720.0,744.13,749.06,784.19,796.51,800.31,829.11,856.42,873.21,1002.6,1029.98,1129.19,1321.76,1472.79,1608.57,1675.93,2014.26
