,Actual_last_5_vals,Simulated_0,Simulated_1,Simulated_2,Simulated_3,Simulated_4,Simulated_5,Simulated_6,Simulated_7,Simulated_8,Simulated_9,Simulated_10,Simulated_11,Simulated_12,Simulated_13,Simulated_14,Simulated_15,Simulated_16,Simulated_17,Simulated_18,Simulated_19,Simulated_20,Simulated_21,Simulated_22,Simulated_23,Simulated_24,Simulated_25,Simulated_26,Simulated_27,Simulated_28,Simulated_29
150,55494.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,55513.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,55532.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,55551.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,55570.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,,50295.44784853766,50295.44784853766,50295.44784853766,50295.44784853766,50295.44784853766,50295.44784853766,50295.44784853766,50295.44784853766,50295.44784853766,50295.44784853766,50295.44784853766,50295.44784853766,50295.44784853766,50295.44784853766,50295.44784853766,50295.44784853766,50295.44784853766,50295.44784853766,50295.44784853766,50295.44784853766,50295.44784853766,50295.44784853766,50295.44784853766,50295.44784853766,50295.44784853766,50295.44784853766,50295.44784853766,50295.44784853766,50295.44784853766,50295.44784853766
156,,48892.777103837856,46280.74140271221,53409.08592724315,51354.43747774527,43325.52122960025,52252.608882994646,52693.46865403051,51486.61971524609,51063.7896696384,53957.98096201404,50875.74789179371,46234.92069471566,49417.032748567544,54775.59293348194,57008.87871695715,50041.40456341139,50982.76797382653,55989.33316375407,47796.91676627957,54231.89755497533,52744.205952435645,53352.31448492528,49716.76049346317,56316.541899339114,47609.27812632968,48023.84442217512,50689.952662593125,48228.64884429606,47814.56643121748,47921.37110641401
157,,55149.926123609075,50380.80652878602,54650.79082923281,52846.05760262488,53075.95526897902,55476.540967075955,51045.53984213145,56899.85964891922,46771.96970228529,50905.822768989434,45235.357239440316,49185.6584231222,47267.77448824605,49551.830607028656,54356.59517252437,44730.13733756072,44759.1762121592,55270.20341771292,50247.17364101707,53572.053852464,57591.71387104787,48808.576299419045,51675.056752674514,49814.18184687197,45245.341287899035,53602.26273577106,54009.554699195185,46601.58799501386,41451.5905211388,44333.32412178728
158,,55274.84181184273,49549.30309812796,49041.48304052388,44198.88440799329,55224.36562936668,56645.36607954629,54777.09221695175,55938.27070708514,46692.28248319581,44150.21648474673,51417.8066455619,45902.24264313665,49294.971961318915,53273.42166354056,52217.92591775989,55283.645994078186,47804.361088513215,55257.22450989027,51221.73622918158,52351.7030366892,44080.5546993689,45220.80556004164,48226.49670783464,53767.71037796011,41170.117996804394,52044.73198671314,50976.70308816302,55137.71253989202,41936.131771900065,53272.194790738286
159,,54296.11419214499,48755.52876041627,49850.15031251676,48105.38793716442,56961.4091025689,49098.29174351966,53245.24038943084,46142.65698618679,44969.73880748611,44843.629260344824,43975.36618081736,51548.1624360945,51494.985195773355,42273.735778816175,47471.804212400464,47937.17708568858,52021.08937433206,57880.992481197885,58219.89101236485,56582.54232096783,47047.07480209207,47749.38298358805,47532.4002561587,59692.036531040736,52962.841450964246,54150.26564457513,49279.46138902813,46990.79081415043,55977.79410460315,47386.14568690253
160,,48833.135539192626,51639.95808587337,57093.442756459466,54742.820583836896,55179.66293149538,49570.628866942854,52092.276644028614,48790.06810819221,52180.6563480711,45936.24665586292,49502.332197997086,47800.73306839832,46095.492241865475,53685.754295451254,45854.12601198321,54822.713975219005,44608.31745719162,51547.741390209616,41410.98642665884,53956.603218082455,56115.92422160052,53163.06853328268,46360.2813354406,51377.83981111134,49716.395292008376,50025.39609720997,49422.54457308647,53991.252513316824,50163.83576732983,46021.6489804332
161,,49996.672687058286,57547.54950957253,44167.13402739297,48681.420270443385,53937.68056816135,49245.94946396959,48257.160912156665,55590.74298021209,53407.88646874972,51377.76459979722,53184.18830125339,48741.97723582929,47360.22378833951,43617.448652895124,52960.03389947705,48113.40052517184,51027.964240915884,47584.54767573658,51027.04433515633,51615.97213682543,46130.97782631601,41858.391450696094,49442.17118781858,50734.44343044188,53795.5454100737,51944.705735021584,46910.059292449856,53016.25293400674,46809.34175581022,54163.23287365375
