,Actual_last_5_vals,Mean_Simulation,Simulated_15,Simulated_27,Simulated_7,Simulated_3,Simulated_0,Simulated_21,Simulated_17,Simulated_13,Simulated_10,Simulated_4,Simulated_29,Simulated_11,Simulated_18,Simulated_14,Simulated_9,Simulated_5,Simulated_26,Simulated_28,Simulated_20,Simulated_22,Simulated_25,Simulated_16,Simulated_24,Simulated_23,Simulated_2,Simulated_6,Simulated_1,Simulated_19,Simulated_8,Simulated_12
0,5600.777777777777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5581.333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5561.888888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5542.444444444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5523.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,5006.99,5006.99,5006.99,5006.99,5006.99,5006.99,5006.99,5006.99,5006.99,5006.99,5006.99,5006.99,5006.99,5006.99,5006.99,5006.99,5006.99,5006.99,5006.99,5006.99,5006.99,5006.99,5006.99,5006.99,5006.99,5006.99,5006.99,5006.99,5006.99,5006.99,5006.99
6,,5006.33,4849.22,4983.53,5011.82,5116.54,5194.52,5058.82,4813.1,5152.62,5054.89,4835.3,5112.57,5064.11,5079.72,5087.12,4971.28,5000.17,5006.88,4884.12,4989.54,4997.93,5205.35,4802.45,4977.44,5016.52,4675.93,5181.78,5093.01,4919.83,5319.07,4734.73
7,,4973.27,5003.99,5083.05,5005.99,4853.26,4992.92,4942.9,4999.28,4955.87,4799.23,4773.94,5160.25,4873.85,5020.43,4877.12,5290.65,5446.72,4799.94,4926.34,4925.62,4938.52,5115.09,4732.96,4748.28,5237.94,4827.14,4932.65,4657.33,5037.93,4848.94,5389.95
8,,4849.62,4790.34,4846.8,4738.98,5021.78,4746.62,4637.73,4893.09,4762.85,4901.55,4940.65,4959.23,4954.48,4682.6,4706.33,4987.08,4654.28,5294.49,4856.42,4626.21,4844.01,5170.09,4853.29,4966.78,4634.85,4824.94,4749.79,4999.5,4807.77,4675.52,4960.61
9,,4874.11,4988.6,4882.83,4961.09,4910.59,4743.4,4775.76,4835.25,5074.54,4823.54,4763.67,4673.04,4904.71,4944.8,5242.2,4990.63,4985.22,5081.64,5041.66,4497.68,4707.04,5122.02,4706.13,4923.25,4900.57,4732.98,4652.86,4925.94,4943.84,4810.24,4677.53
10,,4927.97,5086.39,5126.71,4903.49,4988.03,4863.15,4978.26,4974.92,4972.28,5021.78,4891.78,5138.19,4995.38,5080.85,4904.93,5055.04,4798.52,5020.7,4527.89,4870.38,4573.28,4958.69,4693.66,4949.93,5092.0,4483.07,4728.11,5233.91,4886.57,4881.34,5159.87
11,,4873.75,4882.15,4724.36,4935.35,4890.52,4749.74,4870.76,4791.15,4985.91,4720.72,5097.09,4839.48,4978.88,4749.76,4993.37,4927.51,4680.04,4746.19,5080.59,5004.2,4661.8,5183.24,5017.28,5024.86,4746.5,4779.79,4848.8,5033.2,4428.48,4888.31,4952.57
12,,4834.68,4862.16,4898.91,4928.48,4852.87,4841.9,4963.76,4564.56,4947.47,4818.26,4721.48,4758.87,4512.3,5084.99,5063.67,4731.11,4738.81,4916.91,4736.2,4668.11,4743.58,4916.17,5071.96,4940.14,4938.81,4747.02,4784.5,4701.41,4925.2,4829.16,4831.69
13,,4778.89,4786.73,4838.92,4733.07,4942.83,4835.14,4624.61,4813.73,4573.82,4746.26,4793.42,4546.39,4806.02,4823.95,4794.02,4971.08,4908.09,4634.6,4659.42,4929.3,4613.24,4830.71,4753.89,4965.33,4973.23,4617.33,4342.55,4569.13,4995.63,4616.94,5327.27
14,,4816.2,5052.62,4893.57,4504.63,4845.35,4800.47,4634.2,4735.47,4896.82,4772.9,4940.65,4674.78,4983.76,4640.38,4803.71,4664.53,4782.85,4745.16,4762.98,4836.75,4708.47,4917.23,4734.51,5017.06,5049.83,5011.33,4830.16,4787.76,4547.88,5182.92,4727.37
15,,4774.45,4756.07,4847.3,4845.91,4832.91,4690.77,4661.59,4693.86,4900.16,4435.53,4674.92,4802.84,4606.28,4546.33,4715.09,4878.76,4716.4,4723.52,4502.99,4668.8,4568.03,4780.99,4620.24,5100.75,5039.44,4801.91,5012.68,5081.53,4982.6,4854.26,4891.08
16,,4770.53,4744.81,4874.94,4885.36,5017.56,4508.73,4896.35,4495.34,4727.48,4945.36,4910.87,4749.97,4572.36,4835.24,4442.89,4909.94,4838.47,4636.32,4832.76,4507.44,4981.47,4690.61,4688.69,4955.82,4760.43,4814.53,4559.29,4728.75,4494.23,5255.15,4854.73
17,MAE,,70.35,72.59,79.95,86.04,87.92,95.87,97.72,97.88,98.17,110.28,112.26,112.38,116.6,122.88,123.2,124.47,127.44,129.61,129.88,130.36,130.85,131.14,133.13,134.55,141.42,142.66,149.17,150.79,152.9,178.97
