,Actual_last_5_vals,Mean_Simulation,Simulated_21,Simulated_6,Simulated_5,Simulated_28,Simulated_22,Simulated_9,Simulated_10,Simulated_11,Simulated_0,Simulated_17,Simulated_19,Simulated_15,Simulated_24,Simulated_23,Simulated_12,Simulated_16,Simulated_3,Simulated_25,Simulated_8,Simulated_2,Simulated_20,Simulated_1,Simulated_14,Simulated_13,Simulated_18,Simulated_26,Simulated_29,Simulated_7,Simulated_4,Simulated_27
0,42887.68224299065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,42893.26168224299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,42898.84112149533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,42904.42056074766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,42910.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,76781.44,76781.44,76781.44,76781.44,76781.44,76781.44,76781.44,76781.44,76781.44,76781.44,76781.44,76781.44,76781.44,76781.44,76781.44,76781.44,76781.44,76781.44,76781.44,76781.44,76781.44,76781.44,76781.44,76781.44,76781.44,76781.44,76781.44,76781.44,76781.44,76781.44,76781.44
6,,74440.29,74745.38,68064.49,66135.81,92235.98,82534.27,127177.38,33585.83,92852.93,34112.86,60064.38,1394.21,76626.03,91773.01,72868.38,71214.29,103596.93,73634.36,95830.86,30015.13,38546.75,52861.83,101178.32,90208.51,32050.53,44619.58,125715.86,46641.69,139910.24,103291.29,109721.69
7,,77908.45,62879.75,78601.34,77755.77,60608.57,52213.14,106937.32,30249.06,57657.58,82959.31,69606.78,102886.09,102247.12,80396.27,103358.57,96668.38,104078.78,82078.01,75190.7,78606.83,104014.71,64407.14,87616.34,122620.62,80639.18,18509.9,53218.88,117646.39,58740.39,83631.54,41228.95
8,,67119.34,71049.02,100681.41,67111.23,83056.32,55996.62,84786.13,60272.49,67341.37,35425.26,71931.42,56066.77,62828.35,78819.5,59528.47,9022.04,38866.36,111826.77,62490.81,52924.5,63211.71,56013.08,63907.78,45572.72,54694.24,69255.61,78412.25,101763.91,56623.25,112275.93,81824.83
9,,79884.97,64824.59,85199.02,57849.29,80807.87,73412.01,63073.2,81108.66,49985.39,72671.28,54240.22,93186.37,101637.0,53502.8,120296.62,58484.93,60452.61,107428.08,97623.07,92497.61,115766.92,36103.25,58764.62,78696.77,101415.22,81875.26,112172.94,49099.15,97839.83,72207.61,124327.04
10,,74516.19,44730.63,78476.75,38854.4,98886.14,57346.67,86748.11,84739.5,52497.34,59246.16,83214.39,79915.85,72689.99,123272.34,69042.86,53945.66,60400.02,85843.39,96188.27,90457.08,101442.63,63518.65,122362.48,76267.36,10544.51,88153.82,54210.65,37651.23,91753.76,133657.04,39427.89
11,,75190.74,73810.12,95050.94,73067.52,129352.0,86490.48,75563.67,63423.28,106919.79,85732.1,105743.88,68270.37,42523.33,99222.87,50257.48,54050.04,61690.72,77138.97,64315.27,59123.86,109289.2,83399.21,17928.92,76367.04,38544.99,39734.98,114491.67,65371.38,36823.4,54885.64,147138.99
12,,70797.92,36221.03,62659.58,37160.9,57335.82,80932.59,83777.21,98509.22,71457.55,99566.37,89435.44,81016.13,119865.8,92141.26,59072.5,84953.39,83600.62,112382.81,76511.14,133568.48,60287.16,92891.27,60348.48,102541.39,23329.57,10377.86,53493.67,21696.44,78713.75,5660.66,54429.4
13,,79026.59,89485.22,76723.14,81779.91,82648.14,122599.45,67245.24,100478.5,97258.83,82208.59,123157.13,74904.1,54942.46,101960.57,47698.66,76522.36,85586.85,90291.04,16266.83,34531.65,94585.91,38563.33,29830.87,120970.93,89896.05,63889.53,111522.7,49232.27,57327.67,109305.09,99384.82
14,,76904.17,70030.8,62346.86,56190.04,75999.64,89596.0,103350.12,71187.93,73822.08,64596.86,45680.9,74514.18,79090.1,68562.84,111544.61,50804.54,103600.71,68027.95,61874.72,70435.02,64190.71,83558.0,67451.0,123986.82,91876.61,25482.69,102223.35,85634.15,52356.44,91151.69,117957.81
15,,66949.02,69327.6,41064.5,53118.3,55361.42,31101.89,68556.85,66346.34,98129.76,97501.75,74113.76,51991.89,84529.55,66335.27,83126.5,53418.71,92094.5,24261.46,95677.74,61212.92,33154.87,109013.29,38407.96,94442.42,58037.87,97259.1,90221.56,28682.65,42843.49,33193.19,115943.34
16,,71228.98,91348.05,92672.12,86195.75,60337.68,78715.81,62753.71,88001.32,53018.89,53293.04,83596.73,27881.48,101005.52,43481.33,58510.91,83981.94,59319.27,93344.87,101487.99,77391.32,89638.95,28436.47,74959.16,122167.9,104884.0,69013.86,107811.59,82371.61,-370.23,25353.67,36264.69
17,MAE,,11658.05,11841.03,12848.99,14246.14,15798.96,15844.92,15902.47,16158.15,16903.66,17159.13,17477.75,17479.67,17639.27,17668.37,17686.43,17811.93,18085.87,18459.39,19130.99,21150.16,21936.75,22271.29,23778.79,24630.81,25161.92,26177.26,26390.5,26546.76,29679.03,33323.67
