,Actual_last_5_vals,Mean_Simulation,Simulated_4,Simulated_24,Simulated_19,Simulated_22,Simulated_16,Simulated_11,Simulated_17,Simulated_12,Simulated_5,Simulated_2,Simulated_15,Simulated_0,Simulated_7,Simulated_18,Simulated_3,Simulated_21,Simulated_13,Simulated_27,Simulated_20,Simulated_10,Simulated_28,Simulated_23,Simulated_14,Simulated_9,Simulated_25,Simulated_1,Simulated_6,Simulated_8,Simulated_29,Simulated_26
0,26053.066666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,26024.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,25995.033333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,25966.016666666663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,25937.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,25602.76,25602.76,25602.76,25602.76,25602.76,25602.76,25602.76,25602.76,25602.76,25602.76,25602.76,25602.76,25602.76,25602.76,25602.76,25602.76,25602.76,25602.76,25602.76,25602.76,25602.76,25602.76,25602.76,25602.76,25602.76,25602.76,25602.76,25602.76,25602.76,25602.76,25602.76
6,,14271.08,23038.39,-18293.35,8056.37,56083.26,80661.26,41781.98,-24475.06,-12136.82,68415.17,-20947.88,25045.26,-63693.14,23893.57,34354.56,27175.22,25335.86,-16191.52,-53089.28,41853.37,19320.69,-71616.85,88405.05,15705.84,-22966.84,31317.29,23191.09,4354.44,87574.57,61487.42,-55507.64
7,,26312.38,33401.36,20503.7,59132.2,5521.2,-14071.4,-12382.79,28158.49,-3055.61,14922.13,43843.4,58973.84,31409.93,45721.63,1849.37,15060.07,5036.85,-41799.67,24185.07,29496.57,93893.63,4983.38,-5314.4,21601.61,19861.44,120296.48,155155.63,90605.0,-6069.08,-3236.7,-48311.93
8,,24918.67,45536.3,-34697.2,37323.75,36775.08,-16140.94,12890.22,18909.76,-14988.34,23292.77,36777.47,55463.89,13284.75,-12146.16,68500.09,-803.53,-22324.69,61106.18,45604.23,87514.81,59469.83,48501.2,80561.32,3716.31,80578.82,-67880.94,13701.42,94586.77,-28138.66,81852.87,-61267.24
9,,34135.63,42412.3,94004.66,2386.07,98590.43,30247.54,-1063.6,71398.65,-11602.48,22918.07,-42619.72,-36383.0,24878.47,11895.24,63279.91,138192.18,-38778.02,79093.35,22298.0,12792.29,35292.8,-17360.96,58773.08,73236.36,-29009.91,5526.04,-3138.71,-14009.61,137241.94,179836.27,13741.2
10,,18459.6,20466.05,25509.43,-8491.98,-26028.39,88279.44,4350.66,-58596.55,-3354.51,-9356.4,39860.17,-26346.81,147281.23,-2895.21,51109.43,-22949.99,2565.02,73644.01,50180.52,68182.99,-16403.6,4017.52,86356.37,-49065.42,41734.34,231.49,116458.05,95736.95,-70697.39,9507.32,-77496.77
11,,31015.16,26135.25,-14243.68,95101.73,35830.38,19622.68,31621.85,53469.91,8439.03,50652.23,73046.11,8970.6,29692.84,95673.04,16393.97,21136.54,-24362.94,-6297.9,69053.13,47171.5,-24607.58,68059.13,8774.41,79813.4,7501.05,-58181.34,100724.77,10560.63,21509.48,8998.86,70195.62
12,,27905.02,2672.31,20615.54,11339.43,34691.46,28390.02,89441.76,-39742.2,3136.4,64881.93,38127.64,23980.83,-15267.99,14997.76,-40677.72,-3250.87,31760.52,-2338.73,14278.96,45965.49,51036.62,48010.82,-33374.8,135024.25,91321.1,8797.37,1507.48,-6665.3,35984.43,63242.63,119263.46
13,,27050.44,73701.48,39204.64,-8519.66,-8798.77,27098.72,80602.24,38761.39,34076.83,-18728.02,-6572.82,3951.11,61128.66,-23653.11,51165.92,67163.34,-7694.08,70872.21,106057.0,-21492.75,-12620.59,-10904.03,25982.21,15068.53,-28437.37,-7042.95,-13252.66,78523.44,47728.05,97409.44,60734.76
14,,34560.85,43989.96,33542.8,19435.81,7844.43,42985.25,10278.69,10883.22,55922.27,34722.72,79965.0,99018.9,49599.88,53498.93,16002.16,37645.77,-29361.73,32710.45,-2481.3,-55012.4,115835.29,81175.29,26835.35,58677.4,109278.92,48603.94,19365.96,-19033.53,40889.27,17546.98,-3540.17
15,,23001.2,-23026.31,25776.88,40578.67,22375.14,42433.59,9262.39,11316.3,86763.02,-34201.26,45276.41,18682.54,1651.7,-19204.77,-30980.6,100297.76,84055.3,57166.23,74192.66,-16083.9,-20498.33,66019.89,55996.84,54136.8,-15097.82,-31667.09,61891.02,-35318.38,-104266.47,80444.14,82063.61
16,,48566.66,78818.14,49154.95,44001.95,42382.65,35415.29,58965.64,64734.27,74590.04,121604.45,22516.16,87788.46,45324.94,-6570.7,86127.48,38005.07,39960.15,34770.72,4330.47,22535.36,14579.79,88121.09,3300.39,119856.25,74101.54,65082.23,-4367.81,85.88,88482.97,-35802.74,99104.73
17,MAE,,17435.73,19499.37,21969.19,22031.66,22872.95,24304.82,26188.62,27396.07,28249.03,28530.95,28864.37,29248.19,29520.16,30611.9,30619.61,32996.1,33007.85,33072.68,33489.92,35032.38,35085.83,35376.15,35701.23,38878.27,39857.68,43973.56,44682.71,46898.39,47907.64,54905.37
